	protein	gene
BSU18080	Uncharacterized protein YneT	yneT BSU18080
BSU18090	DNA topoisomerase 4 subunit B (EC 5.6.2.2) (Topoisomerase IV subunit B)	parE grlB BSU18090
BSU18100	DNA topoisomerase 4 subunit A (EC 5.6.2.2) (Topoisomerase IV subunit A)	parC grlA BSU18100
BSU18109	NA	NA
BSU18110	Uncharacterized protein YnfC	ynfC BSU18110
BSU18120	Amino-acid carrier protein AlsT	alsT BSU18120
BSU18130	Endoglucanase (EC 3.2.1.4) (Carboxymethyl-cellulase) (CMCase) (Cellulase) (Endo-1,4-beta-glucanase)	eglS bglC gld BSU18130
BSU18140	Uncharacterized protein YnfE	ynfE BSU18140
BSU18150	Glucuronoxylanase XynC (EC 3.2.1.136) (Endoxylanase XynC) (Glucuronoxylan xylanohydrolase)	xynC ynfF BSU18150
BSU18160	Arabinoxylan arabinofuranohydrolase (AXH) (EC 3.2.1.55) (AXH-m2,3) (AXH-m23) (Alpha-L-arabinofuranosidase) (AF)	xynD BSU18160
BSU18170	Uncharacterized membrane protein YngA	yngA BSU18170
BSU18180	UTP--glucose-1-phosphate uridylyltransferase YngB (EC 2.7.7.9) (Alpha-D-glucosyl-1-phosphate uridylyltransferase) (UDP-glucose pyrophosphorylase) (UDPGP) (UGPase) (Uridine diphosphoglucose pyrophosphorylase)	yngB BSU18180
BSU18190	Uncharacterized membrane protein YngC	yngC BSU18190
BSU18200	Oligoribonuclease NrnB (EC 3.1.-.-) (NanoRNase B)	nrnB yngD BSU18200
BSU18210	Uncharacterized carboxylase YngE (EC 6.4.1.-)	yngE BSU18210
BSU18220	Putative enoyl-CoA hydratase/isomerase YngF	yngF BSU18220
BSU18230	Hydroxymethylglutaryl-CoA lyase YngG (HL) (HMG-CoA lyase) (EC 4.1.3.4) (3-hydroxy-3-methylglutarate-CoA lyase)	yngG BSU18230
BSU18239	Biotin/lipoyl attachment protein (BLAP)	yngHB BSU18239
BSU18240	Biotin carboxylase 2 (EC 6.3.4.14) (Acetyl-coenzyme A carboxylase biotin carboxylase subunit A 2)	accC2 accC yngH BSU18240
BSU18250	Putative acyl-CoA synthetase YngI (EC 6.2.1.-)	yngI BSU18250
BSU18260	Probable acyl-CoA dehydrogenase YngJ (EC 1.3.99.-)	yngJ BSU18260
BSU18270	Uncharacterized protein YnzE	ynzE BSU18270
BSU18275	NA	NA
BSU18280	Glycosyl hydrolase YngK (EC 3.2.1.-)	yngK yotA BSU18280
BSU18290	UPF0713 protein YngL	yngL BSU18290
BSU18300	Plipastatin synthase subunit E (EC 2.3.1.-) (Peptide synthase 5) [Includes: ATP-dependent isoleucine adenylase (IsoA) (Isoleucine activase)]	ppsE pps5 BSU18300
BSU18310	Plipastatin synthase subunit D (EC 2.3.1.-) (Peptide synthase 4) [Includes: ATP-dependent proline adenylase (ProA 1) (Proline activase 1); ATP-dependent glutamine adenylase (GlnA) (Glutamine activase); ATP-dependent tyrosine adenylase 2 (TyrA 2) (Tyrosine activase 2)]	ppsD pps4 BSU18310
BSU18320	Plipastatin synthase subunit C (EC 2.3.1.-) (Peptide synthase 3) [Includes: ATP-dependent glutamate adenylase 2 (GluA 2) (Glutamate activase 2); ATP-dependent alanine/valine adenylase (Ala/ValA) (Alanine/valine activase)]	ppsC pps3 BSU18320
BSU18330	Plipastatin synthase subunit B (EC 2.3.1.-) (Peptide synthase 2) [Includes: ATP-dependent tyrosine adenylase 1 (TyrA 1) (Tyrosine activase 1); ATP-dependent threonine adenylase (ThrA) (Threonine activase)]	ppsB pps2 BSU18330
BSU18340	Plipastatin synthase subunit A (EC 2.3.1.-) (Peptide synthase 1) [Includes: ATP-dependent glutamate adenylase 1 (GluA 1) (Glutamate activase 1); ATP-dependent ornithine adenylase (OrnA) (Ornithine activase)]	ppsA pps1 BSU18340
BSU18350	D-alanyl-D-alanine carboxypeptidase DacC (DD-carboxypeptidase) (DD-peptidase) (EC 3.4.16.4) (Penicillin-binding protein 4a) (PBP-4a)	dacC pbp BSU18350
BSU18360	Aldose 1-epimerase (EC 5.1.3.3) (Galactose mutarotase)	galM yoxA BSU18360
BSU18370	Probable multidrug resistance protein YoeA	yoeA BSU18370
BSU18380	Uncharacterized protein YoeB	yoeB BSU18380
BSU18390	Probable integrase/recombinase YoeC	yoeC BSU18390
BSU18400	Uncharacterized protein YoeD	yoeD BSU18400
BSU18410	Glutathione hydrolase proenzyme (EC 3.4.19.13) (Gamma-glutamyltranspeptidase proenzyme) (EC 2.3.2.2) [Cleaved into: Glutathione hydrolase large chain; Glutathione hydrolase small chain]	ggt BSU18410
BSU18420	HTH-type transcriptional regulator YofA	yofA BSU18420
BSU18430	Uncharacterized zinc-type alcohol dehydrogenase-like protein YogA (EC 1.-.-.-)	yogA BSU18430
BSU18440	Glutamate synthase [NADPH] small chain (EC 1.4.1.13) (NADPH-GOGAT)	gltB BSU18440
BSU18450	Glutamate synthase [NADPH] large chain (EC 1.4.1.13) (NADPH-GOGAT)	gltA BSU18450
BSU18460	Transcriptional dual regulator GltC (HTH-type transcriptional regulator GltC)	gltC BSU18460
BSU18470	Glutamate 5-kinase 2 (EC 2.7.2.11) (Gamma-glutamyl kinase 2) (GK 2)	proJ yohA BSU18470
BSU18480	Pyrroline-5-carboxylate reductase 1 (P5C reductase 1) (P5CR 1) (EC 1.5.1.2) (PCA reductase 1)	proH proC yoxE BSU18480
BSU18490	Replication termination protein (Replication terminator protein)	rtp BSU18490
BSU18500	Uncharacterized oxidoreductase YoxD (EC 1.-.-.-)	yoxD BSU18500
BSU18510	Uncharacterized protein YoxC	yoxC BSU18510
BSU18520	Uncharacterized protein YoxB (ORF119+)	yoxB BSU18520
BSU18530	Uncharacterized N-acetyltransferase YoaA (EC 2.3.1.-)	yoaA BSU18530
BSU18540	Putative transporter YoaB	yoaB BSU18540
BSU18550	Putative sugar kinase YoaC (EC 2.7.1.-)	yoaC BSU18550
BSU18560	Putative 2-hydroxyacid dehydrogenase YoaD (EC 1.1.1.-)	yoaD BSU18560
BSU18570	Probable oxidoreductase YoaE (EC 1.-.-.-)	yoaE BSU18570
BSU18580	Uncharacterized protein YoaF	yoaF BSU18580
BSU18590	UPF0715 membrane protein YoaG	yoaG BSU18590
BSU18595	NA	NA
BSU18596	NA	NA
BSU18600	Uncharacterized protein YozQ	yozQ BSU18600
BSU18610	Putative methyl-accepting chemotaxis protein YoaH	yoaH BSU18610
BSU18620	Probable 4-hydroxyphenylacetate 3-monooxygenase (EC 1.14.14.9) (4-hydroxyphenylacetate 3-hydroxylase) (4-HPA 3-hydroxylase)	yoaI BSU18620
BSU18630	Expansin-YoaJ (EXLX1)	yoaJ BSU18630
BSU18640	UPF0700 transmembrane protein YoaK	yoaK BSU18640
BSU18650	Pectin lyase (PNL) (EC 4.2.2.10)	pelB BSU18650
BSU18660	Abasic site processing protein YoaM (EC 3.4.-.-)	yoaM BSU18660
BSU18669	Putative membrane protein YozS	yozS BSU18669
BSU18670	Oxalate decarboxylase OxdD (EC 4.1.1.2)	oxdD yoaN BSU18670
BSU18680	Uncharacterized protein YoaO	yoaO BSU18680
BSU18689	NA	NA
BSU18690	Uncharacterized N-acetyltransferase YoaP (EC 2.3.1.-)	yoaP BSU18690
BSU18700	Uncharacterized protein YoaQ	yoaQ BSU18700
BSU18709	Uncharacterized protein YozT	yozT BSU18709
BSU18710	Uncharacterized protein YozF	yozF BSU18710
BSU18720	Uncharacterized protein YoaR	yoaR BSU18720
BSU18730	Uncharacterized membrane protein YoaS	yoaS BSU18730
BSU18740	Uncharacterized HTH-type transcriptional regulator YozG	yozG BSU18740
BSU18750	Uncharacterized protein YoaT	yoaT BSU18750
BSU18760	Uncharacterized HTH-type transcriptional regulator YoaU	yoaU BSU18760
BSU18770	Uncharacterized transporter YoaV	yoaV BSU18770
BSU18780	Uncharacterized protein YoaW	yoaW BSU18780
BSU18790	Uncharacterized protease YoaZ (EC 3.2.-.-)	yoaZ BSU18790
BSU18800	Beta-lactamase (EC 3.5.2.6) (Penicillinase)	penP BSU18800
BSU18810	Uncharacterized protein YobA	yobA BSU18810
BSU18819	NA	NA
BSU18820	Uncharacterized protein YobB	yobB BSU18820
BSU18830	Putative phosphoenolpyruvate synthase (Putative PEP synthase) (Pyruvate, water dikinase)	pps BSU18830
BSU18840	Endo-1,4-beta-xylanase A (Xylanase A) (EC 3.2.1.8) (1,4-beta-D-xylan xylanohydrolase A)	xynA BSU18840
BSU18849	Uncharacterized membrane protein YozV	yozV BSU18849
BSU18850	Uncharacterized HTH-type transcriptional regulator YobD	yobD BSU18850
BSU18860	Uncharacterized protein YozH	yozH BSU18860
BSU18870	Uncharacterized protein YozI	yozI BSU18870
BSU18880	Abasic site processing protein YobE (EC 3.4.-.-)	yobE BSU18880
BSU18890	Uncharacterized protein YobF	yobF BSU18890
BSU18898	Uncharacterized protein YozW	yozW BSU18898
BSU18899	Putative protein YozX	yozX BSU18899
BSU18900	Uncharacterized protein YozJ	yozJ BSU18900
BSU18908	Uncharacterized protein YozY	yozY BSU18908
BSU18909	NA	NA
BSU18910	Response regulator aspartate phosphatase K (EC 3.1.-.-)	rapK yobG BSU18910
BSU18920	Phosphatase RapK inhibitor (Phosphatase regulator K)	phrK BSU18920
BSU18930	DNA repair protein homolog YobH	yobH BSU18930
BSU18940	DNA repair protein homolog YozK	yozK BSU18940
BSU18950	Uncharacterized protein YozL	yozL BSU18950
BSU18960	Prophage-derived-like uncharacterized protein YozM	yozM BSU18960
BSU18970	Uncharacterized membrane protein YobI	yobI BSU18970
BSU18979	NA	NA
BSU18978	NA	NA
BSU18980	Uncharacterized protein YobJ	yobJ BSU18980
BSU18990	Immunity protein YobK	yobK BSU18990
BSU19000	Toxin YobL (DNase YobL)	yobL BSU19000
BSU19010	Uncharacterized protein YobM	yobM BSU19010
BSU19020	Putative L-amino-acid oxidase YobN (EC 1.4.3.2)	yobN BSU19020
BSU19030	Putative phage-related protein YobO	yobO BSU19030
BSU19040	Probable chaperone CsaA	csaA BSU19040
BSU19050	Uncharacterized HTH-type transcriptional regulator YobQ	yobQ BSU19050
BSU19060	Uncharacterized N-acetyltransferase YobR (EC 2.3.1.-)	yobR BSU19060
BSU19070	Uncharacterized HTH-type transcriptional regulator YobS	yobS BSU19070
BSU19080	Uncharacterized protein YobT (EC 3.-.-.-)	yobT BSU19080
BSU19090	Putative transcriptional regulator protein YobU	yobU BSU19090
BSU19100	Uncharacterized HTH-type transcriptional regulator YobV	yobV BSU19100
BSU19110	Protein csk22	csk22 yobW BSU19110
BSU19120	HTH-type transcriptional repressor CzrA	czrA yozA BSU19120
BSU19130	Uncharacterized membrane protein YocA	yocA BSU19130
BSU19140	Uncharacterized membrane protein YozB	yozB BSU19140
BSU19150	Uncharacterized protein YocB	yocB BSU19150
BSU19160	Uncharacterized protein YocC	yocC BSU19160
BSU19170	Putative carboxypeptidase YocD (EC 3.4.16.-)	yocD BSU19170
BSU19180	Fatty acid desaturase (EC 1.14.19.-) (Delta(5) acyl-lipid desaturase) (Delta(5) desaturase)	des desA yocE BSU19180
BSU19190	Sensor histidine kinase DesK (EC 2.7.13.3)	desK yocF BSU19190
BSU19200	Transcriptional regulatory protein DesR	desR yocG BSU19200
BSU19210	Cell wall-binding protein YocH	yocH BSU19210
BSU19220	Probable ATP-dependent DNA helicase RecQ (EC 3.6.4.12)	recQ yocI BSU19220
BSU19230	FMN-dependent NADH:quinone oxidoreductase 1 (EC 1.6.5.-) (Azo-dye reductase 1) (FMN-dependent NADH-azo compound oxidoreductase 1) (FMN-dependent NADH-azoreductase 1) (EC 1.7.1.17)	azoR1 yocJ BSU19230
BSU19240	General stress protein 16O (GSP16O)	yocK BSU19240
BSU19250	Uncharacterized protein YocL	yocL BSU19250
BSU19259	Uncharacterized protein YoyB	yoyB BSU19259
BSU19260	Salt stress-responsive protein YocM	yocM BSU19260
BSU19270	Uncharacterized protein YozN	yozN BSU19270
BSU19280	Uncharacterized protein YocN	yocN BSU19280
BSU19290	Uncharacterized protein YozO	yozO BSU19290
BSU19300	Uncharacterized protein YozC	yozC BSU19300
BSU19310	Putative aldehyde dehydrogenase DhaS (EC 1.2.1.3)	dhaS BSU19310
BSU19320	Sporulenol synthase (EC 4.2.1.137) (Tetraprenyl-beta-curcumene cyclase)	sqhC BSU19320
BSU19330	Probable superoxide dismutase [Fe] (EC 1.15.1.1)	sodF BSU19330
BSU19340	Uncharacterized sodium-dependent transporter YocR	yocR BSU19340
BSU19350	Uncharacterized sodium-dependent transporter YocS	yocS BSU19350
BSU19360	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61) (2-oxoglutarate dehydrogenase complex component E2) (OGDC-E2) (Dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase complex)	odhB citM BSU19360
BSU19370	2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2) (Alpha-ketoglutarate dehydrogenase)	odhA citK BSU19370
BSU19380	Uncharacterized protein YojO	yojO BSU19380
BSU19390	Uncharacterized protein YojN	yojN BSU19390
BSU19400	Superoxide dismutase-like protein YojM	yojM BSU19400
BSU19410	D-gamma-glutamyl-meso-diaminopimelic acid endopeptidase CwlS (EC 3.4.19.11) (Cell wall lytic enzyme associated with cell separation)	cwlS yojL BSU19410
BSU19420	Uncharacterized UDP-glucosyltransferase YojK (EC 2.4.1.-)	yojK BSU19420
BSU19430	Cyclic di-AMP synthase CdaS (c-di-AMP synthase) (EC 2.7.7.85) (Diadenylate cyclase) (DAC)	cdaS dacB yojJ BSU19430
BSU19440	Probable multidrug resistance protein NorM (Multidrug-efflux transporter)	norM yojI BSU19440
BSU19450	RsbT co-antagonist protein RsbRC (Stressosome protein RsbRC)	rsbRC yojH BSU19450
BSU19460	Probable N-acetyl-alpha-D-glucosaminyl L-malate deacetylase 2 (GlcNAc-Mal deacetylase 2) (EC 3.5.1.-)	bshB2 yojG BSU19460
BSU19470	Uncharacterized protein YojF	yojF BSU19470
BSU19479	Uncharacterized protein YoyC	yoyC yojE BSU19479
BSU19480	Uncharacterized transporter YojE	yojE yojD BSU19480
BSU19490	Spore germination protein GerT	gerT yozR BSU19490
BSU19510	Uncharacterized protein YojB	yojB BSU19510
BSU19520	Uncharacterized permease YojA	yojA BSU19520
BSU19530	Probable tautomerase YolI (EC 5.3.2.-)	yolI yodA BSU19530
BSU19540	HTH-type transcriptional regulator YodB	yodB BSU19540
BSU19550	Putative NAD(P)H nitroreductase YodC (EC 1.-.-.-)	yodC yolG BSU19550
BSU19560	Putative hydrolase MhqD (EC 3.1.-.-)	mhqD yodD yolF BSU19560
BSU19570	Putative ring-cleaving dioxygenase MhqE (EC 1.13.11.-)	mhqE yodE BSU19570
BSU19579	Uncharacterized membrane protein YoyD	yoyD BSU19579
BSU19580	Uncharacterized symporter YodF	yodF BSU19580
BSU19590	Carboxy-terminal processing protease CtpA (C-terminal processing protease) (EC 3.4.21.102)	ctpA orfRM1 BSU19590
BSU19600	Uncharacterized methyltransferase YodH (EC 2.1.1.-)	yodH yolB BSU19600
BSU19610	Uncharacterized protein YodI	yodI yolA BSU19610
BSU19620	Putative carboxypeptidase YodJ (EC 3.4.-.-)	yodJ yokZ BSU19620
BSU19630	Purine nucleoside phosphorylase DeoD-type (PNP) (EC 2.4.2.1) (Purine nucleoside phosphorylase II) (PU-NPase II)	deoD punB BSU19630
BSU19639	Uncharacterized protein YoyE	yoyE BSU19639
BSU19640	Uncharacterized protein YodL	yodL yokX BSU19640
BSU19650	Phosphatidylglycerophosphatase B (EC 3.1.3.27)	pgpB yodM BSU19650
BSU19660	Uncharacterized protein YozD	yozD BSU19660
BSU19669	Uncharacterized membrane protein YoyF	yoyF BSU19669
BSU19670	Uncharacterized protein YodN	yodN yokV BSU19670
BSU19680	UPF0346 protein YozE	yozE BSU19680
BSU19689	Uncharacterized protein YokU	yokU BSU19689
BSU19690	L-lysine 2,3-aminomutase (LAM) (EC 5.4.3.2) (KAM)	kamA BSU19690
BSU19700	N-acetyltransferase YodP (EC 2.3.1.-) (Beta-lysine N(6)-acetyltransferase) (EC 2.3.1.264)	yodP yokR BSU19700
BSU19710	Uncharacterized metallohydrolase YodQ (EC 3.-.-.-)	yodQ argE yokP BSU19710
BSU19720	Probable coenzyme A transferase subunit beta (EC 2.8.3.-) (Probable CoA-transferase subunit beta)	yodR yokO BSU19720
BSU19730	Probable coenzyme A transferase subunit alpha (EC 2.8.3.-) (Probable CoA-transferase subunit alpha)	yodS yokN BSU19730
BSU19740	Uncharacterized aminotransferase YodT (EC 2.6.-.-)	yodT yokM BSU19740
BSU19745	NA	NA
BSU19749	Uncharacterized membrane protein YoyG	yoyG BSU19749
BSU19750	Uncharacterized N-acetyltransferase CgeE (EC 2.3.1.-)	cgeE cgeBC BSU19750
BSU19760	Protein CgeD	cgeD cgeBB BSU19760
BSU19770	Protein CgeC	cgeC cgeBA BSU19770
BSU19780	Protein CgeA	cgeA cgeAA BSU19780
BSU19790	Protein CgeB	cgeB cgeAB BSU19790
BSU19800	3-phytase (EC 3.1.3.8) (Myo-inositol-hexaphosphate 3-phosphohydrolase) (Phytate 3-phosphatase)	phy yodV yzxA BSU19800
BSU19810	NA	NA
BSU19820	SPbeta prophage-derived uncharacterized protein YotN	yotN yokJ BSU19820
BSU19830	SPbeta prophage-derived uncharacterized protein YotM	yotM yodV yokI BSU19830
BSU19840	SPbeta prophage-derived uncharacterized HTH-type transcriptional regulator YotL	yotL yokH BSU19840
BSU19850	SPbeta prophage-derived uncharacterized protein YotK	yotK BSU19850
BSU19860	SPbeta prophage-derived uncharacterized protein YotJ	yotJ yokG BSU19860
BSU19870	SPbeta prophage-derived uncharacterized protein YotI	yotI yodW yokF BSU19870
BSU19880	SPbeta prophage-derived uncharacterized membrane protein YotH	yotH BSU19880
BSU19890	Uncharacterized SPbeta prophage-derived protein YotG	yotG BSU19890
BSU19900	SPbeta prophage-derived uncharacterized protein YotF	yotF BSU19900
BSU19910	SPbeta prophage-derived uncharacterized protein YotE	yotE BSU19910
BSU19915	NA	NA
BSU19920	SPbeta prophage-derived uncharacterized protein YotD	yotD yokD BSU19920
BSU19930	SPbeta prophage-derived uncharacterized protein YotC	yotC yokC BSU19930
BSU19940	SPbeta prophage-derived uncharacterized protein YotB	yotB yokB BSU19940
BSU19950	Small, acid-soluble spore protein C (SASP)	sspC BSU19950
BSU19970	SPbeta prophage-derived uncharacterized protein YosX	yosX yojZ BSU19970
BSU19980	SPbeta prophage-derived uncharacterized membrane protein YosW	yosW BSU19980
BSU19990	SPbeta prophage-derived uncharacterized protein YosV	yosV yojX BSU19990
BSU19999	Uncharacterized protein YojW	yojW BSU19999
BSU20000	Uncharacterized protein YosU	yosU BSU20000
BSU20010	SPbeta prophage-derived putative transcriptional regulator YosT	yosT yojV BSU20010
BSU20020	SPbeta prophage-derived deoxyuridine 5'-triphosphate nucleotidohydrolase YosS (dUTPase) (EC 3.6.1.23) (dUTP pyrophosphatase)	yosS yojU BSU20020
BSU20030	SPbeta prophage-derived thioredoxin-like protein YosR	yosR yojT BSU20030
BSU20040	SPbeta prophage-derived ribonucleoside-diphosphate reductase subunit beta (EC 1.17.4.1) (Ribonucleotide reductase small subunit)	yosP yojQ/yojS BSU20040
BSU20050	SPbeta prophage-derived putative HNH homing endonuclease YosQ (EC 3.1.-.-)	yosQ yojR BSU20050
BSU20060	Ribonucleoside-diphosphate reductase NrdEB subunit alpha (EC 1.17.4.1) (Ribonucleotide reductase large subunit) [Cleaved into: Bsu nrdEB intein]	nrdEB yojP yosN BSU20060
BSU20070	SPbeta prophage-derived protein NrdI (BnrdI)	nrdIB yosM BSU20070
BSU20080	SPbeta prophage-derived uncharacterized protein YosL	yosL BSU20080
BSU20090	SPbeta prophage-derived uncharacterized protein YosK	yosK BSU20090
BSU20100	SPbeta prophage-derived uncharacterized protein YosJ	yosJ BSU20100
BSU20110	SPbeta prophage-derived uncharacterized protein YosI	yosI BSU20110
BSU20120	SPbeta prophage-derived uncharacterized protein YosH	yosH BSU20120
BSU20130	SPbeta prophage-derived uncharacterized protein YosG	yosG BSU20130
BSU20140	SPbeta prophage-derived uncharacterized protein YosF	yosF BSU20140
BSU20150	SPbeta prophage-derived uncharacterized membrane protein YosE	yosE BSU20150
BSU20160	SPbeta prophage-derived uncharacterized protein YosD	yosD BSU20160
BSU20170	SPbeta prophage-derived uncharacterized protein YosC	yosC BSU20170
BSU20180	SPbeta prophage-derived uncharacterized protein YosB	yosB BSU20180
BSU20190	SPbeta prophage-derived membrane protein YosA	yosA BSU20190
BSU20200	SPbeta prophage-derived uncharacterized protein YorZ	yorZ BSU20200
BSU20210	SPbeta prophage-derived uncharacterized protein YorY	yorY BSU20210
BSU20220	SPbeta prophage-derived uncharacterized protein YorX	yorX BSU20220
BSU20230	SPbeta prophage-derived uncharacterized protein YorW	yorW BSU20230
BSU20240	SPbeta prophage-derived uncharacterized protein YorV	yorV BSU20240
BSU20250	Putative type II methyltransferase M.BsuMIIP (M.BsuMIIP) (EC 2.1.1.37) (Cytosine-specific methyltransferase Phi3TI) (Phi-3T prophage-derived modification methylase Phi3TI) (M.Phi3TI)	mtbP BSU20250
BSU20260	SPbeta prophage-derived uncharacterized protein YorT	yorT BSU20260
BSU20270	5'(3')-deoxyribonucleotidase (EC 3.1.3.-) (Putative SPbeta prophage-derived 5'(3')-deoxyribonucleotidase)	yorS BSU20270
BSU20280	SPbeta prophage-derived uncharacterized protein YorR	yorR BSU20280
BSU20290	SPbeta prophage-derived uncharacterized protein YorQ	yorQ BSU20290
BSU20300	SPbeta prophage-derived uncharacterized protein YorP	yorP BSU20300
BSU20310	SPbeta prophage-derived uncharacterized protein YorO	yorO BSU20310
BSU20320	SPbeta prophage-derived uncharacterized protein YorN	yorN BSU20320
BSU20330	SPbeta prophage-derived uncharacterized protein YorM	yorM BSU20330
BSU20340	Probable DNA polymerase YorL (EC 2.7.7.7)	yorL BSU20340
BSU20350	Putative SPbeta prophage-derived single-strand DNA-specific exonuclease YorK (EC 3.1.-.-)	yorK BSU20350
BSU20360	SPbeta prophage-derived uncharacterized protein YorJ	yorJ BSU20360
BSU20370	SPbeta prophage-derived uncharacterized protein YorI	yorI BSU20370
BSU20380	SPbeta prophage-derived uncharacterized protein YorH	yorH BSU20380
BSU20390	SPbeta prophage-derived uncharacterized protein YorG	yorG BSU20390
BSU20400	SPbeta prophage-derived uncharacterized protein YorF	yorF BSU20400
BSU20410	SPbeta prophage-derived uncharacterized protein YorE	yorE BSU20410
BSU20420	SPbeta prophage-derived stress response protein SCP1	yorD BSU20420
BSU20430	SPbeta prophage-derived uncharacterized protein YorC	yorC BSU20430
BSU20440	SPbeta prophage-derived uncharacterized protein YorB	yorB BSU20440
BSU20450	SPbeta prophage-derived uncharacterized protein YorA	yorA BSU20450
BSU20460	SPbeta prophage-derived UPF0714 protein YoqZ	yoqZ BSU20460
BSU20470	SPbeta prophage-derived uncharacterized protein YoqY	yoqY BSU20470
BSU20480	SPbeta prophage-derived uncharacterized protein YoqX	yoqX BSU20480
BSU20490	Abasic site processing protein YoqW (EC 3.4.-.-)	yoqW BSU20490
BSU20500	SPbeta prophage-derived DNA ligase-like protein LigB	ligB yoqV BSU20500
BSU20510	SPbeta prophage-derived uncharacterized protein YoqU	yoqU BSU20510
BSU20520	SPbeta prophage-derived uncharacterized protein YoqT	yoqT BSU20520
BSU20530	SPbeta prophage-derived uncharacterized protein YoqS	yoqS BSU20530
BSU20540	SPbeta prophage-derived uncharacterized protein YoqR	yoqR BSU20540
BSU20550	SPbeta prophage-derived uncharacterized protein YoqP	yoqP BSU20550
BSU20560	SPbeta prophage-derived uncharacterized protein YoqO	yoqO BSU20560
BSU20570	SPbeta prophage-derived uncharacterized protein YoqN	yoqN BSU20570
BSU20580	SPbeta prophage-derived uncharacterized protein YoqM	yoqM BSU20580
BSU20590	SPbeta prophage-derived putative HNH endonuclease YoqL (EC 3.1.-.-)	yoqL BSU20590
BSU20600	SPbeta prophage-derived uncharacterized protein YoqK	yoqK BSU20600
BSU20610	Uncharacterized SPbeta prophage-derived protein YoqJ	yoqJ BSU20610
BSU20620	SPbeta prophage-derived uncharacterized protein YoqI	yoqI BSU20620
BSU20630	SPbeta prophage-derived uncharacterized protein YoqH	yoqH BSU20630
BSU20640	SPbeta prophage-derived uncharacterized protein YoqG	yoqG BSU20640
BSU20650	SPbeta prophage-derived uncharacterized protein YoqF	yoqF BSU20650
BSU20660	SPbeta prophage-derived uncharacterized protein YoqE	yoqE BSU20660
BSU20670	SPbeta prophage-derived putative antirepressor protein YoqD	yoqD BSU20670
BSU20680	SPbeta prophage-derived uncharacterized protein YoqC	yoqC BSU20680
BSU20690	SPbeta prophage-derived uncharacterized protein YoqB	yoqB BSU20690
BSU20700	SPbeta prophage-derived uncharacterized protein YoqA	yoqA BSU20700
BSU20710	SPbeta prophage-derived uncharacterized protein YopZ	yopZ BSU20710
BSU20720	SPbeta prophage-derived uncharacterized protein YopY	yopY BSU20720
BSU20730	SPbeta prophage-derived uncharacterized protein YopX	yopX BSU20730
BSU20740	SPbeta prophage-derived uncharacterized protein YopW	yopW BSU20740
BSU20750	SPbeta prophage-derived uncharacterized protein YopV	yopV BSU20750
BSU20760	SPbeta prophage-derived uncharacterized protein YopU	yopU BSU20760
BSU20770	SPbeta prophage-derived uncharacterized protein YopT	yopT BSU20770
BSU20780	SPbeta prophage-derived uncharacterized HTH-type transcriptional regulator YopS	yopS BSU20780
BSU20790	SPbeta prophage-derived uncharacterized protein YopR	yopR BSU20790
BSU20800	SPbeta prophage-derived uncharacterized protein YopQ	yopQ BSU20800
BSU20810	SPbeta prophage-derived probable integrase/recombinase YopP	yopP BSU20810
BSU20820	SPbeta prophage-derived uncharacterized HTH-type transcriptional regulator YopO	yopO BSU20820
BSU20830	SPbeta prophage-derived uncharacterized protein YopN	yopN BSU20830
BSU20840	SPbeta prophage-derived uncharacterized protein YopM	yopM BSU20840
BSU20850	SPbeta prophage-derived uncharacterized protein YopL	yopL BSU20850
BSU20860	SPbeta prophage-derived uncharacterized protein YopK	yopK BSU20860
BSU20870	SPbeta prophage-derived uncharacterized protein YopJ	yopJ BSU20870
BSU20880	SPbeta prophage-derived uncharacterized protein YopI	yopI BSU20880
BSU20890	SPbeta prophage-derived uncharacterized protein YopH	yopH BSU20890
BSU20900	SPbeta prophage-derived uncharacterized protein YopG	yopG BSU20900
BSU20910	SPbeta prophage-derived uncharacterized protein YopF	yopF BSU20910
BSU20920	SPbeta prophage-derived uncharacterized protein YopE	yopE BSU20920
BSU20928	Uncharacterized protein YoyH	yoyH BSU20928
BSU20929	Uncharacterized membrane protein YoyI	yoyI BSU20929
BSU20930	SPbeta prophage-derived UPF0715 membrane protein YopD	yopD BSU20930
BSU20940	Putative toxin YopC (SPbeta prophage-derived protein YopC)	yopC BSU20940
BSU20950	Putative antitoxin YopB (SPbeta prophage-derived protein YopB)	yopB BSU20950
BSU20960	SPbeta prophage-derived uncharacterized protein YopA	yopA BSU20960
BSU20970	SPbeta prophage-derived uncharacterized protein YonX	yonX BSU20970
BSU20980	SPbeta prophage-derived uncharacterized protein YonV	yonV BSU20980
BSU20990	SPbeta prophage-derived uncharacterized protein YonU	yonU BSU20990
BSU20999	Uncharacterized membrane protein YoyJ	yoyJ BSU20999
BSU21000	SPbeta prophage-derived uncharacterized protein YonT	yonT BSU21000
BSU21010	SPbeta prophage-derived uncharacterized lipoprotein YonS	yonS BSU21010
BSU21020	SPbeta prophage-derived uncharacterized HTH-type transcriptional regulator YonR	yonR BSU21020
BSU21030	SPbeta prophage-derived uncharacterized protein YonP	yonP BSU21030
