Entry	Protein names	Gene Names
A0A6M3Z6Y0	Glycerophosphodiester phosphodiesterase	HIR78_01310
A0A6M3Z6Z2	Cell wall hydrolase	HIR78_01550
A0A6M3Z6Z4	DUF523 domain-containing protein	HIR78_01085
A0A6M3Z6Z5	YaaL family protein	HIR78_00145
A0A6M3Z703	Competence/sporulation regulator complex protein RicT	ricT HIR78_00220
A0A6M3Z704	Methylated-DNA--[protein]-cysteine S-methyltransferase	HIR78_01160
A0A6M3Z709	Glucarate transporter GudP	gudP HIR78_01485
A0A6M3Z715	ABC transporter ATP-binding protein	HIR78_01530
A0A6M3Z716	Sporulation killing factor biosynthesis protein SkfC	skfC HIR78_01215
A0A6M3Z722	Spore germination protein GerD	gerD HIR78_00925
A0A6M3Z723	Aminotransferase class V-fold PLP-dependent enzyme	HIR78_01585
A0A6M3Z724	YndM family protein	HIR78_01545
A0A6M3Z727	F5/8 type C domain-containing protein	HIR78_01265
A0A6M3Z731	Proline/glycine betaine ABC transporter permease	HIR78_01755
A0A6M3Z739	LysE family transporter	HIR78_01825
A0A6M3Z742	Aminodeoxychorismate/anthranilate synthase component II	pabA HIR78_00445
A0A6M3Z746	Enantioselective carboxylesterase CesB	cesB HIR78_01370
A0A6M3Z752	ATP-dependent Clp protease ATP-binding subunit	HIR78_00575
A0A6M3Z760	Zinc ABC transporter permease ZnuB	znuB HIR78_01695
A0A6M3Z761	23S rRNA (Guanosine(2251)-2'-O)-methyltransferase RlmB	rlmB HIR78_00625
A0A6M3Z766	Niacin permease NiaP	niaP HIR78_01735
A0A6M3Z771	Glycine betaine/L-proline ABC transporter ATP-binding protein	HIR78_01750
A0A6M3Z772	YbxH family protein	HIR78_01285
A0A6M3Z780	MarR family transcriptional regulator	HIR78_01820
A0A6M3Z781	DUF1906 domain-containing protein	HIR78_01340
A0A6M3Z784	Lincomycin efflux MFS transporter Lmr(B)	lmr(B) HIR78_01590
A0A6M3Z788	Nucleotidyltransferase domain-containing protein	HIR78_01875
A0A6M3Z794	Homocysteine S-methyltransferase (EC 2.1.1.10)	mmuM HIR78_01445
A0A6M3Z796	Aldo/keto reductase	HIR78_01640
A0A6M3Z7A9	Transcriptional activator HxlR	hxlR HIR78_02025
A0A6M3Z7B6	Polysaccharide deacetylase family sporulation protein PdaB	pdaB HIR78_00935
A0A6M3Z7B9	MurR/RpiR family transcriptional regulator	HIR78_01070
A0A6M3Z7C0	MFS transporter	HIR78_01815
A0A6M3Z7C5	CASH domain-containing protein	HIR78_02130
A0A6M3Z7C8	DUF4901 domain-containing protein	HIR78_01660
A0A6M3Z7D0	Acetylxylan esterase	HIR78_01870
A0A6M3Z7D1	Assimilatory nitrate reductase catalytic subunit (EC 1.7.-.-)	nasC HIR78_01935
A0A6M3Z7D4	MFS transporter	HIR78_01195
A0A6M3Z7D9	NADPH-nitrite reductase	nasD HIR78_01930
A0A6M3Z7E5	Amidohydrolase	HIR78_01765
A0A6M3Z7E7	Surfactin non-ribosomal peptide synthetase SrfAB	srfAB HIR78_02035
A0A6M3Z7E8	Winged helix-turn-helix transcriptional regulator	HIR78_01190
A0A6M3Z7E9	YbyB	HIR78_01300
A0A6M3Z7F6	Cystine ABC transporter substrate-binding protein TcyA	tcyA HIR78_02090
A0A6M3Z7F9	Two-component system response regulator YbdK	ybdJ HIR78_01245
A0A6M3Z7H1	Reductase or disulfide isomerase in copper uptake, YcnL	HIR78_02285
A0A6M3Z7H6	Spore germination lipase LipC	lipC HIR78_02365
A0A6M3Z7I4	Pyridoxamine 5'-phosphate oxidase family protein	HIR78_02420
A0A6M3Z7I7	DMT family transporter	HIR78_01515
A0A6M3Z7I8	SDR family oxidoreductase	HIR78_02405
A0A6M3Z7J1	Cyclic-di-GMP receptor EpsK	epsK HIR78_02450
A0A6M3Z7K2	Cupin domain-containing protein	HIR78_02520
A0A6M3Z7K4	YdbC family protein	HIR78_02525
A0A6M3Z7K8	Cation transporter	HIR78_02590
A0A6M3Z7K9	Potassium transporter KimA	kimA ydaO HIR78_02470
A0A6M3Z7M0	Anti-TRAP regulator	rtpA HIR78_01510
A0A6M3Z7M2	Type II toxin-antitoxin system antitoxin EndoAI	endB HIR78_02645
A0A6M3Z7N1	Metallopeptidase ImmA	immA HIR78_02770
A0A6M3Z7N2	Toxic anion resistance protein	HIR78_01730
A0A6M3Z7N3	Petrobactin ABC transporter permease YclO	yclO pbtO HIR78_02205
A0A6M3Z7N5	Cellulose biosynthesis cyclic di-GMP-binding regulatory protein BcsB	HIR78_02465
A0A6M3Z7N8	DUF4222 domain-containing protein	HIR78_02825
A0A6M3Z7P1	Green fluorescent protein	HIR78_01785
A0A6M3Z7P2	Two-component system sensor histidine kinase NatK	natK HIR78_01620
A0A6M3Z7P4	Manganese catalase	HIR78_02530
A0A6M3Z7P5	Aldehyde dehydrogenase	HIR78_02255
A0A6M3Z7Q0	Phosphoserine phosphatase RsbX	rsbX HIR78_02690
A0A6M3Z7Q3	Transcriptional regulator LrpA	lrpA HIR78_02900
A0A6M3Z7Q5	Response regulator aspartate phosphatase RapJ	rapJ HIR78_01670
A0A6M3Z7Q6	Lmo0937 family membrane protein	HIR78_02935
A0A6M3Z7R2	CarD family transcriptional regulator	HIR78_02950
A0A6M3Z7R5	TerC family protein	HIR78_01720
A0A6M3Z7R6	Lipoprotein	HIR78_02930
A0A6M3Z7R7	TetR/AcrR family transcriptional regulator	HIR78_03045
A0A6M3Z7S1	MaoC family dehydratase	HIR78_03010
A0A6M3Z7S2	DUF3817 domain-containing protein	HIR78_02430
A0A6M3Z7S3	Zinc metallochaperone ZinU	zinU yciC HIR78_01965
A0A6M3Z7S7	Helix-turn-helix transcriptional regulator	HIR78_02775
A0A6M3Z7S8	EamA family transporter	HIR78_03070
A0A6M3Z7T0	LLM class flavin-dependent oxidoreductase	HIR78_02895
A0A6M3Z7T2	Thioredoxin family protein	HIR78_03155
A0A6M3Z7T3	6-phospho-3-hexuloisomerase	hxlB HIR78_02015
A0A6M3Z7T5	Carboxylesterase (EC 3.1.1.1)	HIR78_03120
A0A6M3Z7T6	MFS transporter	HIR78_03040
A0A6M3Z7T7	Conjugal transfer protein	HIR78_02830
A0A6M3Z7T8	DoxX family protein	HIR78_03205
A0A6M3Z7U5	Phosphatase RapI inhibitor PhrI	phrI HIR78_02885
A0A6M3Z7U7	PLP-dependent aminotransferase family protein	HIR78_02065
A0A6M3Z7U8	Probable membrane transporter protein	HIR78_03255
A0A6M3Z7V2	DoxX family protein	HIR78_03150
A0A6M3Z7V3	Amino acid permease	HIR78_03220
A0A6M3Z7V4	Transposase	HIR78_01960
A0A6M3Z7V8	RsbT co-antagonist protein RsbRA	rsbRA HIR78_02655
A0A6M3Z7W3	DMT family transporter	HIR78_03000
A0A6M3Z7W6	UPF0310 protein HIR78_02705	HIR78_02705
A0A6M3Z7X1	PTS lactose/cellobiose transporter subunit IIA	HIR78_03320
A0A6M3Z7X2	Metal-responsive transcriptional regulator AseR	aseR HIR78_03050
A0A6M3Z7X4	Helicase processivity factor HelP	helP HIR78_02800
A0A6M3Z7X6	DMT family transporter	HIR78_02060
A0A6M3Z7Y1	MMPL family transporter	HIR78_03115
A0A6M3Z7Y3	YddF family protein	HIR78_02850
A0A6M3Z7Y4	Type-2 restriction-modification system deoxyribonuclease BsuRB	bsuRB HIR78_03505
A0A6M3Z7Y8	Acyl-phosphate glycerol 3-phosphate acyltransferase	HIR78_03165
A0A6M3Z7Z0	Multidrug efflux MFS transporter	HIR78_02220
A0A6M3Z7Z1	Cysteine hydrolase	HIR78_02910
A0A6M3Z7Z4	Two pore domain potassium channel family protein	HIR78_03565
A0A6M3Z7Z6	Glucitol operon transcriptional regulator GutR	gutR HIR78_03525
A0A6M3Z7Z7	GNAT family N-acetyltransferase	HIR78_03210
A0A6M3Z800	GntR family transcriptional regulator	HIR78_03260
A0A6M3Z802	GABA permease	gabP HIR78_03615
A0A6M3Z803	Two-component system response regulator YclJ	yclJ HIR78_02165
A0A6M3Z804	EamA family transporter	HIR78_02965
A0A6M3Z808	Cell wall metabolism protein WalM	walM ydjM HIR78_03580
A0A6M3Z811	Purine transporter PbuE	pbuE HIR78_03310
A0A6M3Z812	Type II restriction-modification system endonuclease YdiR (EC 3.1.21.4)	ydiR HIR78_03500
A0A6M3Z813	Transcriptional repressor MtlR	mtlR HIR78_02390
A0A6M3Z815	LysM peptidoglycan-binding domain-containing protein	HIR78_03265
A0A6M3Z820	Band_7_1 domain-containing protein	HIR78_03560
A0A6M3Z821	Petrobactin ABC transporter substrate-binding protein YclQ	yclQ pbtQ HIR78_02215
A0A6M3Z822	Lipoprotein	HIR78_02445
A0A6M3Z823	PTS sugar transporter subunit IIB	HIR78_03315
A0A6M3Z824	CPBP family intramembrane metalloprotease	HIR78_03450
A0A6M3Z825	FMN-binding glutamate synthase family protein	HIR78_03765
A0A6M3Z826	General stress protein	HIR78_02515
A0A6M3Z828	LlaJI family restriction endonuclease	HIR78_03510
A0A6M3Z832	SDR family oxidoreductase	HIR78_02265
A0A6M3Z834	tRNA (Adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB	tsaB HIR78_03405
A0A6M3Z835	ABC transporter permease	HIR78_02565
A0A6M3Z836	Myo-inositol transporter IolT	iolT HIR78_03570
A0A6M3Z837	Ribonuclease YeeF family protein	HIR78_03880
A0A6M3Z846	Spore coat protein CotJB	HIR78_03930
A0A6M3Z847	Ovule protein	HIR78_03620
A0A6M3Z854	DUF4368 domain-containing protein	HIR78_03515
A0A6M3Z856	Rhamnogalacturonyl hydrolase YesR (EC 3.2.1.172)	yesR rhgH HIR78_03980
A0A6M3Z857	MerR family transcriptional regulator	HIR78_03130
A0A6M3Z858	Trp operon repressor family	HIR78_03760
A0A6M3Z863	(R,R)-butanediol dehydrogenase (EC 1.1.1.4)	bdhA HIR78_03575
A0A6M3Z866	Extracellular solute-binding protein	HIR78_04030
A0A6M3Z867	23S rRNA (Uracil(1939)-C(5))-methyltransferase RlmD (EC 2.1.1.190)	rlmD HIR78_03835
A0A6M3Z868	Uncharacterized protein	HIR78_02815
A0A6M3Z869	DUF421 domain-containing protein	HIR78_03180
A0A6M3Z870	ABC transporter ATP-binding protein	HIR78_02560
A0A6M3Z874	Colicin immunity protein / pyocin immunity protein	HIR78_03870
A0A6M3Z876	DMT family transporter	HIR78_04085
A0A6M3Z881	MarR family transcriptional regulator	HIR78_03230
A0A6M3Z883	Phosphatase RapH inhibitor PhrH	phrH HIR78_03895
A0A6M3Z884	Phage protein	HIR78_02925 HIR78_12870
A0A6M3Z885	MFS transporter	HIR78_04140
A0A6M3Z893	Alkaline phosphatase PhoB (EC 3.1.3.1)	phoB HIR78_03280
A0A6M3Z8A5	6-phospho-beta-glucosidase GmuD (EC 3.2.1.86)	gmuD HIR78_03330
A0A6M3Z8A7	PLDc_N domain-containing protein	HIR78_03095
A0A6M3Z8A8	DNA relaxase NicK	nicK HIR78_02810
A0A6M3Z8A9	Diacylglycerol kinase	HIR78_03830
A0A6M3Z8B5	Transglycosylase SLT domain-containing protein	HIR78_02860
A0A6M3Z8C1	GNAT family N-acetyltransferase	HIR78_03940
A0A6M3Z8C4	Conserved domain protein	HIR78_03475
A0A6M3Z8C5	Transcriptional regulator YetL	yetL HIR78_04090
A0A6M3Z8C6	MFS transporter	HIR78_02920
A0A6M3Z8C8	Nucleotid_trans domain-containing protein	HIR78_04135
A0A6M3Z8C9	Rhamnogalacturonan acetylesterase	HIR78_03990
A0A6M3Z8D5	Carbohydrate ABC transporter permease	HIR78_04040
A0A6M3Z8D7	PLP-dependent aminotransferase family protein	HIR78_02975
A0A6M3Z8E0	YtxH domain-containing protein	HIR78_04410
A0A6M3Z8E5	Orphan protein	HIR78_03590
A0A6M3Z8E6	Winged helix-turn-helix transcriptional regulator	HIR78_03030
A0A6M3Z8F2	YfmB family protein	HIR78_04240
A0A6M3Z8G3	N-acetyltransferase	HIR78_04200
A0A6M3Z8G8	QacE family quaternary ammonium compound efflux SMR transporter	HIR78_04305
A0A6M3Z8G9	MurR/RpiR family transcriptional regulator	HIR78_04560
A0A6M3Z8H1	MOSC domain-containing protein	HIR78_04295
A0A6M3Z8H3	YgcG family protein	HIR78_03555
A0A6M3Z8I6	Nitroreductase family protein	HIR78_03240
A0A6M3Z8I7	YihY family inner membrane protein	HIR78_04415
A0A6M3Z8I8	Phosphotransferase enzyme family protein	HIR78_03790
A0A6M3Z8J0	Yip1 domain-containing protein	HIR78_03655
A0A6M3Z8J1	Alpha,alpha-phosphotrehalase (EC 3.2.1.93)	treC HIR78_04370
A0A6M3Z8J8	YdhH/YoaO family protein	HIR78_03290
A0A6M3Z8J9	YfzA-like protein	HIR78_04475
A0A6M3Z8K8	23S rRNA (Uracil(1939)-C(5))-methyltransferase RlmD (EC 2.1.1.190)	rlmD HIR78_04470
A0A6M3Z8L3	YfhO family protein	HIR78_04765
A0A6M3Z8N2	Linearmycin resistance ATP-binding protein LnrL	lnrL HIR78_04620
A0A6M3Z8N5	TFIIB-type zinc ribbon-containing protein	HIR78_03550
A0A6M3Z8P0	MFS transporter	HIR78_04665
A0A6M3Z8P1	YfhH family protein	HIR78_04725
A0A6M3Z8P3	MFS transporter	HIR78_04655
A0A6M3Z8P4	Sugar ABC transporter permease	HIR78_03970
A0A6M3Z8Q0	TIGR01777 family protein	HIR78_04715
A0A6M3Z8Q2	YfhD family protein	HIR78_04705
A0A6M3Z8Q3	Cytosolic protein	HIR78_04780
A0A6M3Z8Q5	Amidase domain-containing protein	HIR78_05030
A0A6M3Z8Q6	ABC-F family ATP-binding cassette domain-containing protein	HIR78_04165
A0A6M3Z8R2	UPF0295 protein HIR78_04830	HIR78_04830
A0A6M3Z8R3	Alpha/beta hydrolase	HIR78_04755
A0A6M3Z8R4	Adenine deaminase (EC 3.5.4.2)	HIR78_03750
A0A6M3Z8R5	Formylglycine-generating enzyme family protein	HIR78_04215
A0A6M3Z8R6	Flavodoxin family protein	HIR78_05080
A0A6M3Z8S0	Aliphatic sulfonate ABC transporter substrate-binding protein	HIR78_04980
A0A6M3Z8S1	Citrate transporter CitM	citM HIR78_04275
A0A6M3Z8S4	Thioredoxin-dependent thiol peroxidase (EC 1.11.1.15)	bcp HIR78_04820
A0A6M3Z8S5	Aromatic acid exporter family protein	HIR78_04810
A0A6M3Z8S6	Glycosyltransferase family 2 protein	HIR78_04130
A0A6M3Z8S7	ABC transporter ATP-binding protein	HIR78_04975
A0A6M3Z8S9	Polymer-forming cytoskeletal protein	HIR78_05045
A0A6M3Z8T3	GIY-YIG nuclease family protein	HIR78_03860
A0A6M3Z8T5	YhbD family protein	HIR78_05040
A0A6M3Z8T7	Nuclear transport factor 2 family protein	HIR78_03915
A0A6M3Z8T8	L-cystine transporter	HIR78_05135
A0A6M3Z8U2	MFS transporter	HIR78_04180
A0A6M3Z8U3	Integral membrane protein	HIR78_05095
A0A6M3Z8U6	Signal peptide protein	HIR78_05085
A0A6M3Z8U7	HAD family hydrolase	HIR78_05185
A0A6M3Z8U9	Rhamnogalacturonan acetylesterase	HIR78_04015
A0A6M3Z8V1	Peptidase_MA_2 domain-containing protein	HIR78_05150
A0A6M3Z8V2	DUF2076 domain-containing protein	HIR78_05140
A0A6M3Z8V3	Fe(3+)-citrate ABC transporter substrate-binding protein YfmC	yfmC HIR78_04235
A0A6M3Z8V5	MFS transporter	HIR78_05075
A0A6M3Z8V7	GNAT family N-acetyltransferase	HIR78_05190
A0A6M3Z8V8	Aspartate aminotransferase family protein	HIR78_05195
A0A6M3Z8V9	NAD(P)H-dependent oxidoreductase	HIR78_05235
A0A6M3Z8W1	Collagen-like protein	HIR78_04065
A0A6M3Z8W3	YhdB-like protein	HIR78_05240
A0A6M3Z8W4	YfjM	HIR78_04485
A0A6M3Z8W6	Peptidoglycan endopeptidase LytF	lytF HIR78_05250
A0A6M3Z8W7	Branched-chain amino acid transporter BcaP	bcaP HIR78_05295
A0A6M3Z8W8	YqzG/YhdC family protein	HIR78_05245
A0A6M3Z8X4	Transporter	HIR78_05300
A0A6M3Z8X6	Nucleotid_trans domain-containing protein	HIR78_04125
A0A6M3Z8X7	GNAT family N-acetyltransferase	HIR78_05310
A0A6M3Z8Y1	UPF0435 protein HIR78_04400	HIR78_04400
A0A6M3Z8Y2	Catechol 2,3-dioxygenase (EC 1.13.11.2)	catE HIR78_04585
A0A6M3Z8Y4	HlyC/CorC family transporter	HIR78_05355
A0A6M3Z8Y5	Na+/H+ antiporter NhaC	nhaC HIR78_05400
A0A6M3Z8Y6	MerR family transcriptional regulator	HIR78_04175
A0A6M3Z8Z2	Multidrug ABC transporter ATP-binding protein BmrC	bmrC HIR78_05415
A0A6M3Z8Z3	Transcriptional regulator PadR	padR HIR78_04635
A0A6M3Z8Z5	Iron ABC transporter permease	HIR78_04230
A0A6M3Z8Z7	DUF445 domain-containing protein	HIR78_05455
A0A6M3Z902	Iron ABC transporter permease	HIR78_04685
A0A6M3Z903	DNA alkylation repair protein	HIR78_05465
A0A6M3Z910	Endospore germination permease	HIR78_04345
A0A6M3Z911	ESAT-6-like protein	HIR78_04550
A0A6M3Z918	Tryptophan transporter TrpP	trpP HIR78_05580
A0A6M3Z921	Sugar phosphate isomerase/epimerase	HIR78_04600
A0A6M3Z927	ABC transporter ATP-binding protein EcsA	ecsA HIR78_05595
A0A6M3Z934	TetR/AcrR family transcriptional regulator	HIR78_05650
A0A6M3Z935	TetR/AcrR family transcriptional regulator	HIR78_04650
A0A6M3Z943	Gly-zipper_Omp domain-containing protein	HIR78_04545
A0A6M3Z944	SDR family oxidoreductase	HIR78_05705
A0A6M3Z946	Sodium:solute symporter	HIR78_05800
A0A6M3Z947	MBL fold metallo-hydrolase	HIR78_05695
A0A6M3Z951	ABC transporter ATP-binding protein	HIR78_05505
A0A6M3Z955	3-dehydro-glucose-6-phosphate--glutamate transaminase (EC 2.6.1.104)	ntdA HIR78_05850
A0A6M3Z957	ABC transporter substrate-binding protein	HIR78_05740
A0A6M3Z958	ABC transporter ATP-binding protein	HIR78_04805
A0A6M3Z962	Serine/threonine protein kinase PrkA	prkA HIR78_05055
A0A6M3Z963	DUF3311 domain-containing protein	HIR78_05805
A0A6M3Z967	Excalibur calcium-binding domain-containing protein	HIR78_05795
A0A6M3Z968	HNH nuclease-like protein HlpB	hlpB HIR78_05905
A0A6M3Z972	NTD biosynthesis operon transcriptional regulator NtdR	ntdR HIR78_05855
A0A6M3Z975	ABC transporter ATP-binding protein	HIR78_05105
A0A6M3Z976	Kanosamine-6-phosphate phosphatase (EC 3.1.3.92)	ntdB HIR78_05845
A0A6M3Z977	UPF0344 protein HIR78_05955	HIR78_05955
A0A6M3Z988	PLP-dependent aminotransferase family protein	HIR78_06015
A0A6M3Z989	UPF0374 protein HIR78_04800	HIR78_04800
A0A6M3Z993	Cell wall-associated protease WprA	wprA HIR78_05960
A0A6M3Z998	Damage-inducible protein DinB	HIR78_06005
A0A6M3Z999	MetQ/NlpA family ABC transporter substrate-binding protein	HIR78_05125
A0A6M3Z9A5	Acryloyl-CoA reductase (EC 1.3.1.95)	HIR78_05735
A0A6M3Z9A6	Lipoprotein	HIR78_05005
A0A6M3Z9A7	DUF1700 domain-containing protein	HIR78_06115
A0A6M3Z9A8	YitT family protein	HIR78_06055
A0A6M3Z9B4	GNAT family N-acetyltransferase	HIR78_06070
A0A6M3Z9B6	MarR family transcriptional regulator	HIR78_05065
A0A6M3Z9B9	Hydrolase	HIR78_06230
A0A6M3Z9C6	Competence transcription factor ComK	comK HIR78_05785
A0A6M3Z9E1	K(+)/H(+) antiporter subunit KhtU	khtU HIR78_05480
A0A6M3Z9E4	DUF2929 domain-containing protein	HIR78_06225
A0A6M3Z9F1	ClpXP adapter protein SpxH	spxH yjbH HIR78_06380
A0A6M3Z9F7	Aldo/keto reductase	HIR78_05330
A0A6M3Z9F9	N-acetyl amino acid acetylase SndC	sndC HIR78_05610
A0A6M3Z9G0	CYTH domain-containing protein	HIR78_06395
A0A6M3Z9G2	Aspartyl-phosphate phosphatase YisI	yisI pchI HIR78_05940
A0A6M3Z9H1	TerC family protein	HIR78_06345
A0A6M3Z9H2	Scyllo-inositol 2-dehydrogenase	iolX yisS HIR78_06000
A0A6M3Z9H3	DUF819 domain-containing protein	HIR78_06560
A0A6M3Z9H5	Lipoprotein	HIR78_05715
A0A6M3Z9I0	UPF0738 protein HIR78_06400	HIR78_06400
A0A6M3Z9I2	Phosphosulfolactate synthase	HIR78_06050
A0A6M3Z9I3	Heme-based aerotactic transducer HemAT	hemAT HIR78_05765
A0A6M3Z9I4	Thiazole biosynthesis adenylyltransferase ThiF	HIR78_06455
A0A6M3Z9I5	DUF2271 domain-containing protein	HIR78_06580
A0A6M3Z9I7	Heme-degrading oxygenase HmoB	hmoB HIR78_05625
A0A6M3Z9J1	Enoyl-CoA hydratase (EC 4.2.1.17)	HIR78_05495
A0A6M3Z9J2	Sporulation protein YjcZ	yjcZ HIR78_06510
A0A6M3Z9J3	ASCH domain-containing protein	HIR78_05680
A0A6M3Z9J4	TVP38/TMEM64 family membrane protein	HIR78_05815
A0A6M3Z9J5	HTTM domain-containing protein	HIR78_06100
A0A6M3Z9K1	GNAT family N-acetyltransferase	HIR78_05730
A0A6M3Z9K2	DUF1641 domain-containing protein	HIR78_06780
A0A6M3Z9K3	MFS transporter	HIR78_05865
A0A6M3Z9K5	Ribosome alternative rescue factor ArfA	HIR78_06585
A0A6M3Z9K6	HAD family phosphatase	HIR78_06155
A0A6M3Z9K9	Altronate dehydratase	HIR78_06835
A0A6M3Z9L0	IDEAL domain-containing protein	HIR78_05780
A0A6M3Z9L4	DUF2061 domain-containing protein	HIR78_05620
A0A6M3Z9L5	PTS mannose transporter subunit IIABC	manP HIR78_06635
A0A6M3Z9L6	Monooxygenase YjiB	yjiB HIR78_06740
A0A6M3Z9L7	Spore coat protein CotT	cotT HIR78_06680
A0A6M3Z9M1	DUF664 domain-containing protein	HIR78_05975
A0A6M3Z9M4	Rubrerythrin family protein	HIR78_05880
A0A6M3Z9M5	M42 family metallopeptidase	HIR78_05675
A0A6M3Z9M9	MFS transporter	HIR78_06795
A0A6M3Z9N0	Cell division protein FtsB	HIR78_06735
A0A6M3Z9N1	Oligopeptide ABC transporter ATP-binding protein OppD	oppD HIR78_06320
A0A6M3Z9N5	UDP-glucosyltransferase	HIR78_06745
A0A6M3Z9N7	Phage tail tube protein	HIR78_06990
A0A6M3Z9P0	DinB family protein	HIR78_06845
A0A6M3Z9P1	Group-specific protein	HIR78_06375
A0A6M3Z9P5	Ferredoxin	HIR78_06900
A0A6M3Z9Q0	SDR family oxidoreductase	HIR78_05775
A0A6M3Z9Q4	DUF47 domain-containing protein	HIR78_07100
A0A6M3Z9Q6	Dipeptide ABC transporter permease DppC	dppC HIR78_07155
A0A6M3Z9Q8	Phage-like element PBSX protein XkdF	HIR78_06950
A0A6M3Z9R0	Helix-turn-helix transcriptional regulator	HIR78_06895
A0A6M3Z9R2	Sporulation protein YjcA	yjcA HIR78_06500
A0A6M3Z9R4	ATPase YjoB	yjoB HIR78_06850
A0A6M3Z9R5	GNAT family N-acetyltransferase	HIR78_07225
A0A6M3Z9R8	Four-helix bundle copper-binding protein	HIR78_05875
A0A6M3Z9R9	ComG operon repressor	HIR78_06245
A0A6M3Z9S0	GNAT family N-acetyltransferase	HIR78_06555
A0A6M3Z9S2	Phage portal protein	HIR78_06945
A0A6M3Z9S6	Phage-like element PBSX protein XepA	xepA xkdY HIR78_07060
A0A6M3Z9S7	Guanine deaminase (EC 3.5.4.3)	guaD HIR78_07275
A0A6M3Z9T1	Antibiotic biosynthesis monooxygenase	HIR78_06615
A0A6M3Z9T2	Phage-like element PBSX protein XkdG	HIR78_06955
A0A6M3Z9T6	Ring-cleaving dioxygenase	HIR78_07110
A0A6M3Z9T7	XkdX family protein	HIR78_07055
A0A6M3Z9T9	MATE family efflux transporter	HIR78_05985
A0A6M3Z9U1	YjdJ family protein	HIR78_06670
A0A6M3Z9U3	Oligopeptide ABC transporter permease OppC	oppC HIR78_06315
A0A6M3Z9U5	PepSY domain-containing protein	HIR78_07325
A0A6M3Z9U6	Gamma-D-glutamyl-L-lysine dipeptidyl-peptidase (EC 3.4.14.13)	eepC HIR78_07180
A0A6M3Z9U7	Serine/threonine exchanger	steT HIR78_07105
A0A6M3Z9V3	DUF4352 domain-containing protein	HIR78_06725
A0A6M3Z9V6	Thiazole tautomerase TenI	tenI HIR78_06435
A0A6M3Z9V7	Multidrug efflux SMR transporter subunit YkkD	ykkD HIR78_07235
A0A6M3Z9V9	Cupin type-1 domain-containing protein	HIR78_06775
A0A6M3Z9W0	Dipeptide ABC transporter ATP-binding subunit DppD	dppD HIR78_07160
A0A6M3Z9W3	GNAT family N-acetyltransferase	HIR78_06530
A0A6M3Z9W4	Serine protease Isp	isp ispA HIR78_07285
A0A6M3Z9W7	Multidrug efflux SMR transporter subunit YkkC	ykkC HIR78_07230
A0A6M3Z9W9	Spore coat protein CotV	cotV HIR78_06495
A0A6M3Z9X5	Cystathionine beta-lyase	metC HIR78_06550
A0A6M3Z9X9	DUF3813 domain-containing protein	HIR78_06145
A0A6M3Z9Y7	Phage terminase small subunit	HIR78_06610
A0A6M3Z9Y9	DUF2268 domain-containing protein	HIR78_06700
A0A6M3Z9Z3	Integral inner membrane protein	HIR78_07380
A0A6M3Z9Z8	RsbT co-antagonist RsbRB	rsbRB HIR78_07290
A0A6M3Z9Z9	Uroporphyrinogen-III synthase (EC 4.2.1.75)	HIR78_06755
A0A6M3ZA01	Methionine-glutamine aminotransferase	mtnE HIR78_07490
A0A6M3ZA04	Phage-like element PBSX protein XkdV	HIR78_07045
A0A6M3ZA06	DUF1641 domain-containing protein	HIR78_06720
A0A6M3ZA07	Carbonic anhydrase	HIR78_01175
A0A6M3ZA11	Multidrug resistance efflux transporter family protein	HIR78_06770
A0A6M3ZA15	Sporulation killing factor biosynthesis/export protein SkfG	skfG HIR78_01230
A0A6M3ZA17	Oligopeptide ABC transporter permease OppB	oppB HIR78_06310
A0A6M3ZA18	Winged helix-turn-helix transcriptional regulator	HIR78_07580
A0A6M3ZA19	Phosphatase RapA inhibitor PhrA	phrA HIR78_06860
A0A6M3ZA20	LacI family transcriptional regulator	HIR78_06825
A0A6M3ZA25	Dipeptide ABC transporter permease DppB	dppB HIR78_07150
A0A6M3ZA28	Poly-gamma-glutamate hydrolase family protein	HIR78_06880
A0A6M3ZA29	Desulfoferrodoxin	HIR78_06915
A0A6M3ZA34	Sodium:solute symporter	HIR78_07640
A0A6M3ZA36	YqbH/XkdH family protein	HIR78_06965
A0A6M3ZA38	Di/tri-peptidase	papB HIR78_07645
A0A6M3ZA39	SCP domain-containing protein	HIR78_07700
A0A6M3ZA44	DUF2634 domain-containing protein	HIR78_07025
A0A6M3ZA45	Flagellar motor stator protein MotA	motA HIR78_07545
A0A6M3ZA49	Mobilization protein	HIR78_06980
A0A6M3ZA50	DUF4065 domain-containing protein	HIR78_07760
A0A6M3ZA56	LysM peptidoglycan-binding domain-containing protein	HIR78_07595
A0A6M3ZA59	Metallophosphoesterase	HIR78_07745
A0A6M3ZA60	Glycosyltransferase family 2 protein	HIR78_07125
A0A6M3ZA68	N-Dimethylarginine dimethylaminohydrolase	HIR78_07195
A0A6M3ZA69	Toxin-antitoxin-antitoxin system toxin SpoIISA	spoIISA HIR78_07090
A0A6M3ZA70	Flavodoxin	HIR78_07810
A0A6M3ZA71	Flavodoxin	HIR78_07800
A0A6M3ZA72	Exo-alpha-sialidase	HIR78_07805
A0A6M3ZA80	VWA domain-containing protein	HIR78_01555
A0A6M3ZA83	Sporulation protein cse15	HIR78_07850
