	protein	gene
b1840	Inner membrane protein YebZ	yebZ b1840 JW1829
b1841	Protein YobA	yobA b1841 JW1830
b1842	DNA polymerase III subunit theta (EC 2.7.7.7)	holE b1842 JW1831
b1843	Uncharacterized protein YobB	yobB b1843 JW1832
b1844	Exodeoxyribonuclease 10 (EC 3.1.11.-) (Exodeoxyribonuclease X) (Exo X) (Exonuclease X)	exoX yobC b1844 JW1833
b1845	Protease 2 (EC 3.4.21.83) (Oligopeptidase B) (Protease II)	ptrB tlp b1845 JW1834
b1846	Inner membrane protein YebE	yebE b1846 JW1835
b1847	Protein YebF	yebF b1847 JW1836
b1848	Uncharacterized protein YebG	yebG b1848 JW1837
b1849	Formate-dependent phosphoribosylglycinamide formyltransferase (EC 6.3.1.21) (5'-phosphoribosylglycinamide transformylase 2) (Formate-dependent GAR transformylase) (GAR transformylase 2) (GART 2) (GAR transformylase T) (Non-folate glycinamide ribonucleotide transformylase) (Phosphoribosylglycinamide formyltransferase 2)	purT b1849 JW1838
b1850	KHG/KDPG aldolase [Includes: 4-hydroxy-2-oxoglutarate aldolase (EC 4.1.3.16) (2-keto-4-hydroxyglutarate aldolase) (KHG-aldolase); 2-dehydro-3-deoxy-phosphogluconate aldolase (EC 4.1.2.14) (2-keto-3-deoxy-6-phosphogluconate aldolase) (KDPG-aldolase) (Phospho-2-dehydro-3-deoxygluconate aldolase) (Phospho-2-keto-3-deoxygluconate aldolase)]	eda hga kdgA b1850 JW1839
b1851	Phosphogluconate dehydratase (EC 4.2.1.12) (6-phosphogluconate dehydratase) (Entner-Doudoroff dehydrase)	edd b1851 JW1840
b1852	Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49) [Cleaved into: Extracellular death factor (EDF)]	zwf b1852 JW1841
b1853	HTH-type transcriptional regulator HexR (Hex regulon repressor)	hexR yebK b1853 JW1842
b1854	Pyruvate kinase II (EC 2.7.1.40) (PK-2)	pykA b1854 JW1843
b1855	Lipid A biosynthesis myristoyltransferase (EC 2.3.1.243) (Kdo(2)-lauroyl-lipid IV(A) myristoyltransferase)	lpxM msbB b1855 JW1844
b1856	Murein DD-endopeptidase MepM (EC 3.4.24.-) (Murein hydrolase MepM) (ORFU)	mepM yebA b1856 JW5304
b1857	High-affinity zinc uptake system protein ZnuA	znuA yebL yzzP b1857 JW5831
b1858	Zinc import ATP-binding protein ZnuC (EC 7.2.2.20)	znuC yebM b1858 JW1847
b1859	High-affinity zinc uptake system membrane protein ZnuB	znuB yebI b1859 JW1848
b1860	Holliday junction ATP-dependent DNA helicase RuvB (EC 3.6.4.12)	ruvB b1860 JW1849
b1861	Holliday junction ATP-dependent DNA helicase RuvA (EC 3.6.4.12)	ruvA b1861 JW1850
b4677	Uncharacterized protein YobI	yobI b4677 JW1850.1
b1862	Uncharacterized protein YebB	yebB b1862 JW5306
b1863	Crossover junction endodeoxyribonuclease RuvC (EC 3.1.21.10) (Holliday junction nuclease RuvC) (Holliday junction resolvase RuvC)	ruvC b1863 JW1852
b1864	Probable transcriptional regulatory protein YebC	yebC b1864 JW1853
b1865	Dihydroneopterin triphosphate diphosphatase (EC 3.6.1.67) (Dihydroneopterin triphosphate pyrophosphatase) (dATP pyrophosphohydrolase)	nudB ntpA b1865 JW1854
b1866	Aspartate--tRNA ligase (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS)	aspS tls b1866 JW1855
b1867	Isochorismatase family protein YecD (EC 3.-.-.-)	yecD b1867 JW5307
b1868	UPF0759 protein YecE	yecE b1868 JW1857
b1869	Inner membrane protein YecN	yecN b1869 JW5308
b1870	Carboxy-S-adenosyl-L-methionine synthase (Cx-SAM synthase) (EC 2.1.3.-)	cmoA yecO b1870 JW1859
b1871	tRNA U34 carboxymethyltransferase (EC 2.5.1.-)	cmoB yecP b1871 JW1860
b1872	Trimethylamine-N-oxide reductase 2 (TMAO reductase 2) (Trimethylamine oxidase 2) (EC 1.7.2.3)	torZ bisZ b1872 JW1861
b1873	Cytochrome c-type protein TorY	torY yecK b1873 JW1862
b1874	PF03932 family protein CutC (Putative copper homeostasis protein CutC)	cutC b1874 JW1863
b1875	Protein YecM	yecM yecL b1875 JW5309
b1876	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)	argS b1876 JW1865
b1877	Uncharacterized protein YecT	yecT b1877 JW5310
b1878	Flagellar protein FlhE	flhE b1878 JW1867
b1879	Flagellar biosynthesis protein FlhA	flhA b1879 JW1868
b1880	Flagellar biosynthetic protein FlhB	flhB yecQ b1880 JW1869
b1881	Protein phosphatase CheZ (EC 3.1.3.-) (Chemotaxis protein CheZ)	cheZ b1881 JW1870
b1882	Chemotaxis protein CheY	cheY b1882 JW1871
b1883	Protein-glutamate methylesterase/protein-glutamine glutaminase (EC 3.1.1.61) (EC 3.5.1.44) (Chemotaxis response regulator protein-glutamate methylesterase/glutamine deamidase) (Methyl-accepting chemotaxis proteins-specific methylesterase/deamidase) (MCP-specific methylesterase/deamidase)	cheB b1883 JW1872
b1884	Chemotaxis protein methyltransferase (EC 2.1.1.80)	cheR cheX b1884 JW1873
b1885	Methyl-accepting chemotaxis protein IV (MCP-IV) (Dipeptide chemoreceptor protein)	tap b1885 JW1874
b1886	Methyl-accepting chemotaxis protein II (MCP-II) (Aspartate chemoreceptor protein)	tar cheM b1886 JW1875
b1887	Chemotaxis protein CheW	cheW b1887 JW1876
b1888	Chemotaxis protein CheA (EC 2.7.13.3)	cheA b1888 JW1877
b1889	Motility protein B (Chemotaxis protein MotB)	motB b1889 JW1878
b1890	Motility protein A (Chemotaxis protein MotA)	motA flaJ b1890 JW1879
b1891	Flagellar transcriptional regulator FlhC	flhC flaI b1891 JW1880
b1892	Flagellar transcriptional regulator FlhD	flhD flbB b1892 JW1881
b1893	Insertion element IS1 5 protein InsB (IS1h)	insB5 b1893
b1894	Insertion element IS1 5 protein InsA (IS1h)	insA5 b1894
b1895	Universal stress protein C	uspC yecG b1895 JW1884
b1896	Trehalose-6-phosphate synthase (TPS) (EC 2.4.1.15) (Alpha,alpha-trehalose-phosphate synthase [UDP-forming]) (Osmoregulatory trehalose synthesis protein A) (OtsA) (UDP-glucose-glucosephosphate glucosyltransferase)	otsA b1896 JW5312
b1897	Trehalose-6-phosphate phosphatase (TPP) (EC 3.1.3.12) (Osmoregulatory trehalose synthesis protein B) (Trehalose 6-phosphate phosphatase) (Trehalose-phosphatase)	otsB b1897 JW1886
b4460	L-arabinose transport system permease protein AraH	araH b4460 JW1887
b1900	Arabinose import ATP-binding protein AraG (EC 7.5.2.12)	araG b1900 JW1888
b1901	L-arabinose-binding periplasmic protein (ABP)	araF b1901 JW1889
b1902	Bacterial non-heme ferritin-like protein	ftnB yecI b1902 JW1890
b4537	Uncharacterized protein YecJ	yecJ b4537 JW1891
b4663	Uncharacterized protein AzuC	azuC b4663 JW1891.1
b1904	Uncharacterized protein YecR	yecR b1904 JW1892
b1905	Bacterial non-heme ferritin (EC 1.16.3.2) (Ferritin-1)	ftnA ftn gen-165 rsgA b1905 JW1893
b1906	Uncharacterized protein YecH	yecH b1906 JW1894
b1907	Tyrosine-specific transport system (Tyrosine permease) (Tyrosine:H(+) symporter)	tyrP b1907 JW1895
b1908	Uncharacterized protein YecA	yecA b1908 JW1896
b1912	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5) (Phosphatidylglycerophosphate synthase) (PGP synthase)	pgsA b1912 JW1897
b1913	UvrABC system protein C (Protein UvrC) (Excinuclease ABC subunit C)	uvrC b1913 JW1898
b1914	Response regulator UvrY	uvrY yecB b1914 JW1899
b4752	Protein YecU	yecU b4752
b1915	Uncharacterized protein YecF	yecF b1915 JW1900
b1916	Regulatory protein SdiA	sdiA b1916 JW1901
b1917	L-cystine transport system ATP-binding protein TcyN (EC 7.4.2.12)	tcyN yecC b1917 JW1902
b1918	L-cystine transport system permease protein TcyL	tcyL yecS b1918 JW1903
b1919	D-cysteine desulfhydrase (EC 4.4.1.15)	dcyD yedO b1919 JW5313
b1920	L-cystine-binding protein TcyJ (CBP) (Protein FliY) (Sulfate starvation-induced protein 7) (SSI7)	tcyJ fliY yzzR b1920 JW1905
b1921	Regulator of sigma S factor FliZ	fliZ yedH b1921 JW1906
b1922	RNA polymerase sigma factor FliA (RNA polymerase sigma factor for flagellar operon) (Sigma F) (Sigma-27) (Sigma-28)	fliA flaD rpoF b1922 JW1907
b1923	Flagellin	fliC flaF hag b1923 JW1908
b1924	Flagellar hook-associated protein 2 (HAP2) (Filament cap protein) (Flagellar cap protein)	fliD flaV flbC b1924 JW1909
b1925	Flagellar secretion chaperone FliS	fliS b1925 JW1910
b1926	Flagellar protein FliT	fliT b1926 JW1911
b1927	Cytoplasmic alpha-amylase (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)	amyA yedC b1927 JW1912
b1928	Uncharacterized lipoprotein YedD	yedD b1928 JW1913
b1929	UPF0394 inner membrane protein YedE	yedE b1929 JW1914
b1930	Putative sulfur carrier protein YedF	yedF b1930 JW1915
b1931	Abasic site processing protein YedK (EC 3.4.-.-)	yedK yedG b1931 JW1916
b1932	Uncharacterized N-acetyltransferase YedL (EC 2.3.1.-)	yedL b1932 JW1917
b4495	NA	NA
b1936	Putative protein IntG (Putative lambdoid prophage defective integrase)	intG b1936
b1937	Flagellar hook-basal body complex protein FliE	fliE fla AI flaN b1937 JW1921
b1938	Flagellar M-ring protein	fliF fla AII.1 fla BI b1938 JW1922
b1939	Flagellar motor switch protein FliG	fliG fla AII.2 fla BII b1939 JW1923
b1940	Flagellar assembly protein FliH	fliH fla AII.3 fla BIII b1940 JW1924
b1941	Flagellum-specific ATP synthase (EC 7.1.2.2)	fliI fla AIII flaC b1941 JW1925
b1942	Flagellar FliJ protein	fliJ flaO flaS b1942 JW1926
b1943	Flagellar hook-length control protein	fliK flaE flaR b1943 JW1927
b1944	Flagellar protein FliL	fliL cheC1 fla AI fla QI b1944 JW1928
b1945	Flagellar motor switch protein FliM	fliM cheC2 fla AII fla QII b1945 JW1929
b1946	Flagellar motor switch protein FliN	fliN flaN motD b1946 JW1930
b1947	Flagellar protein FliO	fliO flaP flbD b1947 JW5316
b1948	Flagellar biosynthetic protein FliP	fliP flaR b1948 JW1932
b1949	Flagellar biosynthetic protein FliQ	fliQ flaQ b1949 JW1933
b1950	Flagellar biosynthetic protein FliR	fliR flaP b1950 JW1934
b1951	Transcriptional regulatory protein RcsA (Colanic acid capsular biosynthesis activation protein A)	rcsA b1951 JW1935
b1952	Protein DsrB	dsrB b1952 JW1936
b1953	Uncharacterized protein YodD	yodD b1953 JW5317
b1955	Mannosyl-3-phosphoglycerate phosphatase (MPGP) (EC 3.1.3.70)	yedP b1955 JW1938
b1956	Probable diguanylate cyclase DgcQ (DGC) (EC 2.7.7.65) (Cellulose synthesis regulatory protein)	dgcQ yedQ b1956 JW5832
b1957	Uncharacterized protein YodC	yodC b1957 JW1940
b1958	Inner membrane protein YedI	yedI b1958 JW1941
b1959	Uncharacterized inner membrane transporter YedA	yedA b1959 JW1942
b1960	DNA mismatch endonuclease Vsr (EC 3.1.-.-) (Type II nicking enzyme) (V.EcoKDcm) (Very short patch repair protein) (Vsr mismatch endonuclease)	vsr b1960 JW1943
b1961	DNA-cytosine methyltransferase (EC 2.1.1.37) (Type II methyltransferase M.EcoKDcm) (M.EcoKDcm)	dcm mec b1961 JW1944
b1962	Uncharacterized protein YedJ	yedJ b1962 JW1945
b1963	Cell division protein DrpB (Division ring protein B)	drpB yedR b1963 JW1946
b4496	Putative outer membrane protein YedS	yedS b4496 JW5319/JW1948/JW1949 b1964/b1965/b1966
b1967	Protein/nucleic acid deglycase 1 (EC 3.1.2.-) (EC 3.5.1.-) (EC 3.5.1.124) (Glyoxalase III) (EC 4.2.1.130) (Holding molecular chaperone) (Hsp31) (Maillard deglycase)	hchA yedU yzzC b1967 JW1950
b1968	Sensor histidine kinase HprS (EC 2.7.13.3) (Hydrogen peroxide response sensor)	hprS yedV b1968 JW1951
b1969	Transcriptional regulatory protein HprR (Hydrogen peroxide response regulator)	hprR yedW b1969 JW5322
b1970	5-hydroxyisourate hydrolase (HIU hydrolase) (HIUHase) (EC 3.5.2.17) (Transthyretin-like protein) (TLP) (Transthyretin-related protein) (TRP)	hiuH yedX b1970 JW1953
b1971	Protein-methionine-sulfoxide reductase catalytic subunit MsrP (EC 1.8.5.-)	msrP yedY b1971 JW1954
b1972	Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ (Flavocytochrome MsrQ)	msrQ yedZ b1972 JW1955
b1973	Metal-binding protein ZinT (Cadmium-induced protein ZinT)	zinT yodA b1973 JW1956
b1974	Cytochrome b561 homolog 1	yodB b1974 JW5323
b1976	Ribosomal RNA large subunit methyltransferase M (EC 2.1.1.186) (23S rRNA (cytidine2498-2'-O)-methyltransferase) (23S rRNA 2'-O-ribose methyltransferase RlmM)	rlmM ygdE b2806 JW2777 b1976
b1978	Uncharacterized protein YeeJ	yeeJ b1978 JW5833
b4497	Putative uncharacterized protein YeeL	yeeL b4497 b1979/b1980
b1981	Shikimate transporter (Shikimate permease)	shiA yeeM b1981 JW1962
b1982	AMP nucleosidase (EC 3.2.2.4)	amn b1982 JW1963
b1983	Probable transcriptional regulatory protein YeeN	yeeN b1983 JW1964
b1985	Probable FMN/FAD exporter YeeO	yeeO b1985 JW1965
b1987	HTH-type transcriptional regulator cbl	cbl b1987 JW1966
b1988	Nitrogen assimilation regulatory protein nac (Nitrogen assimilation control protein)	nac b1988 JW1967
b1990	Probable L,D-transpeptidase ErfK/SrfK (EC 2.-.-.-)	erfK yeeG yzzT b1990 JW1968
b1991	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (NN:DBI PRT) (EC 2.4.2.21) (N(1)-alpha-phosphoribosyltransferase)	cobT b1991 JW1969
b1992	Adenosylcobinamide-GDP ribazoletransferase (EC 2.7.8.26) (Cobalamin synthase) (Cobalamin-5'-phosphate synthase)	cobS b1992 JW1970
b1993	Bifunctional adenosylcobalamin biosynthesis protein CobU (Adenosylcobinamide kinase) (EC 2.7.1.156) (Adenosylcobinamide-phosphate guanylyltransferase) (EC 2.7.7.62)	cobU b1993 JW1971
b1994	Transposase InsH for insertion sequence element IS5H	insH6 b1994 JW1972
b1996	Transposase InsD for insertion element IS2F	insD3 b1996 JW1975
b1997	Transposase InsC for insertion element IS2F	insC3 b1997 JW1978
b1999	Putative uncharacterized protein YeeP	yeeP b1999 JW5327
b2000	Antigen 43 (AG43) (Fluffing protein) [Cleaved into: Antigen 43 alpha chain; Antigen 43 beta chain]	flu yeeQ yzzX b2000 JW1982
b2001	Inner membrane protein YeeR	yeeR b2001 JW1983
b2002	UPF0758 protein YeeS	yeeS b2002 JW1984
b2003	Uncharacterized protein YeeT	yeeT b2003 JW1985
b2004	Cytoskeleton bundling-enhancing antitoxin CbeA (Antitoxin CbeA) (Antitoxin YeeU)	cbeA yeeU b2004 JW1986
b2005	Cytoskeleton-binding toxin CbtA (Toxin CbtA) (Toxin YeeV)	cbtA yeeV b2005 JW1987
b2006	Protein YeeW	yeeW b2006 JW1988
b4538	Protein YoeF	yoeF b4538 JW5328
b2007	UPF0265 protein YeeX	yeeX b2007 JW1989
b2008	Inner membrane protein YeeA	yeeA b2008 JW1990
b2009	DNA gyrase inhibitor	sbmC gyrI yeeB b2009 JW1991
b2010	D-alanyl-D-alanine carboxypeptidase DacD (DD-carboxypeptidase) (DD-peptidase) (EC 3.4.16.4) (Penicillin-binding protein 6b) (PBP-6b)	dacD phsE yeeC b2010 JW5329
b2011	Exodeoxyribonuclease I (ExoI) (Exonuclease I) (EC 3.1.11.1) (DNA deoxyribophosphodiesterase) (dRPase)	sbcB cpeA xonA b2011 JW1993
b2012	Putative sulfur carrier protein YeeD	yeeD b2012 JW1994
b2013	UPF0394 inner membrane protein YeeE	yeeE b2013 JW1995
b2014	Low-affinity putrescine importer PlaP (Putrescine low affinity permease)	plaP yeeF b2014 JW5330
b4678	Uncharacterized protein YoeI	yoeI b4678 JW5330.1
b2015	Uncharacterized HTH-type transcriptional regulator YeeY	yeeY b2015 JW5834
b2016	Protein YeeZ	yeeZ b2016 JW1998
b4539	Toxin YoeB (EC 3.1.-.-) (Putative endoribonuclease YoeB) (Putative mRNA interferase Yoeb)	yoeB b4539 JW5331
b2017	Antitoxin YefM	yefM b2017 JW5835
b2018	his operon leader peptide (his operon attenuator peptide)	hisL b2018 JW2000
b2019	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)	hisG b2019 JW2001
b2020	Histidinol dehydrogenase (HDH) (EC 1.1.1.23)	hisD b2020 JW2002
b2021	Histidinol-phosphate aminotransferase (EC 2.6.1.9) (Imidazole acetol-phosphate transaminase) (HPAT) (HspAT)	hisC b2021 JW2003
b2022	Histidine biosynthesis bifunctional protein HisB [Includes: Histidinol-phosphatase (EC 3.1.3.15); Imidazoleglycerol-phosphate dehydratase (IGPD) (EC 4.2.1.19)]	hisB b2022 JW2004
b2023	Imidazole glycerol phosphate synthase subunit HisH (EC 4.3.2.10) (IGP synthase glutaminase subunit) (EC 3.5.1.2) (IGP synthase subunit HisH) (ImGP synthase subunit HisH) (IGPS subunit HisH)	hisH b2023 JW2005
b2024	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase (EC 5.3.1.16) (Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase)	hisA b2024 JW2006
b2025	Imidazole glycerol phosphate synthase subunit HisF (EC 4.3.2.10) (IGP synthase cyclase subunit) (IGP synthase subunit HisF) (ImGP synthase subunit HisF) (IGPS subunit HisF)	hisF b2025 JW2007
b2026	Histidine biosynthesis bifunctional protein HisIE [Includes: Phosphoribosyl-AMP cyclohydrolase (PRA-CH) (EC 3.5.4.19); Phosphoribosyl-ATP pyrophosphatase (PRA-PH) (EC 3.6.1.31)]	hisI hisIE b2026 JW2008
b2027	Chain length determinant protein (Polysaccharide antigen chain regulator)	wzzB cld rol wzz b2027 JW5836
b2028	UDP-glucose 6-dehydrogenase (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH) (EC 1.1.1.22)	ugd pmrE udg yefA b2028 JW2010
b2029	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	gnd b2029 JW2011
b2030	Transposase InsH for insertion sequence element IS5I	insH7 b2030 JW2014
b2032	Putative glycosyltransferase WbbK	wbbK yefI b2032 JW2017
b2033	Putative lipopolysaccharide biosynthesis O-acetyl transferase WbbJ (EC 2.3.1.-)	wbbJ yefH b2033 JW2018
b2034	Beta-1,6-galactofuranosyltransferase WbbI (EC 2.4.1.-) (D-Galf:alpha-D-Glc beta-1,6-galactofuranosyltransferase) (GalF transferase)	wbbI yefG b2034 JW2019
b2035	O-antigen polymerase	rfc yefF b2035 JW2020
b2036	UDP-galactopyranose mutase (UGM) (EC 5.4.99.9) (UDP-GALP mutase) (Uridine 5-diphosphate galactopyranose mutase)	glf yefE b2036 JW2021
b2037	Putative O-antigen transporter	rfbX wzx b2037 JW2022
b2038	dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13) (Thymidine diphospho-4-keto-rhamnose 3,5-epimerase) (dTDP-4-keto-6-deoxyglucose 3,5-epimerase) (dTDP-6-deoxy-D-xylo-4-hexulose 3,5-epimerase) (dTDP-L-rhamnose synthase)	rfbC rmlC b2038 JW2023
b2039	Glucose-1-phosphate thymidylyltransferase 1 (G1P-TT 1) (EC 2.7.7.24) (dTDP-glucose pyrophosphorylase 1) (dTDP-glucose synthase 1)	rfbA rmlA rmlA1 b2039 JW2024
b2040	dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133) (dTDP-4-keto-L-rhamnose reductase) (dTDP-6-deoxy-L-lyxo-4-hexulose reductase) (dTDP-6-deoxy-L-mannose dehydrogenase) (dTDP-L-rhamnose synthase)	rfbD rmlD b2040 JW2025
b2041	dTDP-glucose 4,6-dehydratase 1 (EC 4.2.1.46)	rfbB rmlB b2041 JW2026
b2042	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9) (Alpha-D-glucosyl-1-phosphate uridylyltransferase) (UDP-glucose pyrophosphorylase) (UDPGP) (Uridine diphosphoglucose pyrophosphorylase)	galF wcaN b2042 JW2027
b2043	Colanic acid biosynthesis protein WcaM	wcaM yefK b2043 JW2028
b2044	Putative colanic acid biosynthesis glycosyltransferase WcaL (EC 2.4.-.-)	wcaL yefL b2044 JW2029
b2045	Colanic acid biosynthesis protein WcaK (EC 2.-.-.-)	wcaK b2045 JW2030
b2046	Lipopolysaccharide biosynthesis protein WzxC	wzxC wzx b2046 JW2031
b2047	UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase (UDP-Glc:Und-P Glc-1-P transferase) (EC 2.7.8.31) (Colanic acid biosynthesis UDP-glucose lipid carrier transferase) (Glucosyl-P-P-undecaprenol synthase)	wcaJ b2047 JW2032
b2048	Phosphomannomutase (PMM) (EC 5.4.2.8)	manB cpsG rfbL b2048 JW2033
b2049	Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13) (GDP-mannose pyrophosphorylase) (GMP) (GMPP)	manC cpsB rfbM b2049 JW2034
b2050	Putative colanic acid biosynthesis glycosyl transferase WcaI	wcaI yefD b2050 JW2035
b2051	GDP-mannose mannosyl hydrolase (GDPMH) (EC 3.6.1.-) (Colanic acid biosynthesis protein WcaH)	gmm nudD wcaH yefC b2051 JW5335
b2052	GDP-L-fucose synthase (EC 1.1.1.271) (GDP-4-keto-6-deoxy-D-mannose-3,5-epimerase-4-reductase)	fcl wcaG yefB b2052 JW2037
b2053	GDP-mannose 4,6-dehydratase (EC 4.2.1.47) (GDP-D-mannose dehydratase)	gmd yefA yefN b2053 JW2038
b2054	Putative colanic acid biosynthesis acetyltransferase WcaF (EC 2.3.1.-)	wcaF b2054 JW2039
b2055	Putative colanic acid biosynthesis glycosyl transferase WcaE	wcaE b2055 JW2040
b2056	Putative colanic acid polymerase	wcaD b2056 JW2041
b2057	Putative colanic acid biosynthesis glycosyl transferase WcaC	wcaC b2057 JW2042
b2058	Putative colanic acid biosynthesis acetyltransferase WcaB (EC 2.3.1.-)	wcaB b2058 JW2043
b2059	Putative colanic acid biosynthesis glycosyl transferase WcaA	wcaA b2059 JW2044
b2060	Tyrosine-protein kinase wzc (EC 2.7.10.-)	wzc b2060 JW2045
b2061	Low molecular weight protein-tyrosine-phosphatase Wzb (EC 3.1.3.48)	wzb b2061 JW2046
b2062	Putative polysaccharide export protein Wza	wza b2062 JW2047
b2063	UPF0053 protein YegH	yegH b2063 JW5336
b2064	Protein AsmA	asmA yegA b2064 JW2049
b2065	dCTP deaminase (EC 3.5.4.13) (Deoxycytidine triphosphate deaminase)	dcd dus paxA b2065 JW2050
b2066	Uridine kinase (EC 2.7.1.48) (Cytidine monophosphokinase) (Uridine monophosphokinase)	udk b2066 JW2051
b2067	Probable diguanylate cyclase DgcE (DGC) (EC 2.7.7.65)	dgcE yegE b2067 JW2052
b2068	DNA-3-methyladenine glycosylase 2 (EC 3.2.2.21) (3-methyladenine-DNA glycosylase II, inducible) (TAG II) (DNA-3-methyladenine glycosidase II) (DNA-3-methyladenine glycosylase II)	alkA aidA b2068 JW2053
b2069	Uncharacterized chaperone protein YegD	yegD b2069 JW2054
b2070	Protein kinase YegI (EC 2.7.-.-)	yegI b2070 JW2055
b2071	Uncharacterized protein YegJ	yegJ b2071 JW2056
b2072	Serine/threonine-protein phosphatase 3 (EC 3.1.3.16) (PP2C-like Ser/Thr phosphatase) (Protein phosphatase C)	pphC yegK b2072 JW2057
b2073	Uncharacterized protein YegL	yegL b2073 JW2058
b4667	Small toxic protein IbsA	ibsA b4667 JW2058.1
b4668	Small toxic protein IbsB	ibsB b4668 JW2058.2
b2074	Multidrug resistance protein MdtA (Multidrug transporter MdtA)	mdtA yegM b2074 JW5338
b2075	Multidrug resistance protein MdtB (Multidrug transporter MdtB)	mdtB yegN b2075 JW2060
b2076	Multidrug resistance protein MdtC (Multidrug transporter MdtC)	mdtC yegO b2076 JW2061
b2077	Putative multidrug resistance protein MdtD	mdtD yegB b2077 JW2062
b2078	Signal transduction histidine-protein kinase BaeS (EC 2.7.13.3)	baeS b2078 JW2063
b2079	Transcriptional regulatory protein BaeR	baeR b2079 JW2064
b2080	UPF0339 protein YegP	yegP b2080 JW5339
b2081	tRNA hydroxylation protein P (EC 3.4.-.-)	trhP yegQ b2081 JW2066
b2082	Prophage late control protein OgrK (Prophage P2 OGR protein)	ogrK b2082 JW2067
b2083	NA	NA
b2085	Uncharacterized protein YegR	yegR b2085 JW5837
b2086	Lipid kinase YegS (EC 2.7.1.-)	yegS b2086 JW2070
b2088	Transposase InsE for insertion sequence IS3E	insE5 b2088 JW5341
b2089	Transposase InsF for insertion sequence IS3E	insF5 b2089 JW2073
b2091	Galactitol 1-phosphate 5-dehydrogenase (EC 1.1.1.251)	gatD b2091 JW2075
b2092	PTS system galactitol-specific EIIC component (EIIC-Gat) (Galactitol permease IIC component)	gatC b2092 JW2076
b2093	PTS system galactitol-specific EIIB component (EIIB-Gat) (Galactitol-specific phosphotransferase enzyme IIB component) (EC 2.7.1.200)	gatB b2093 JW2077
b2094	PTS system galactitol-specific EIIA component (EIIB-Gat) (Galactitol-specific phosphotransferase enzyme IIA component)	gatA b2094 JW2078/JW2081
b2095	D-tagatose-1,6-bisphosphate aldolase subunit GatZ	gatZ b2095 JW2082
b2096	D-tagatose-1,6-bisphosphate aldolase subunit GatY (TBPA) (TagBP aldolase) (EC 4.1.2.40) (D-tagatose-bisphosphate aldolase class II) (Tagatose-bisphosphate aldolase)	gatY yegF b2096 JW5343
b2097	Fructose-bisphosphate aldolase class 1 (EC 4.1.2.13) (Fructose-bisphosphate aldolase class I) (FBP aldolase)	fbaB dhnA b2097 JW5344
b2098	Putative nucleoside transporter YegT	yegT b2098 JW2085
b2099	Uncharacterized protein YegU (EC 3.2.2.-)	yegU b2099 JW2086
b2100	Uncharacterized sugar kinase YegV (EC 2.7.1.-)	yegV b2100 JW2087
b2101	Uncharacterized HTH-type transcriptional regulator YegW	yegW b2101 JW2088
b2102	Uncharacterized protein YegX	yegX b2102 JW5345
b2103	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase (EC 2.7.1.49) (EC 2.7.4.7) (Hydroxymethylpyrimidine kinase) (HMP kinase) (Hydroxymethylpyrimidine phosphate kinase) (HMP-P kinase) (HMP-phosphate kinase) (HMPP kinase)	thiD thiJ b2103 JW2090
b2104	Hydroxyethylthiazole kinase (EC 2.7.1.50) (4-methyl-5-beta-hydroxyethylthiazole kinase) (TH kinase) (Thz kinase)	thiM b2104 JW2091
b2105	Transcriptional repressor RcnR	rcnR yohL b2105 JW2092
b2106	Nickel/cobalt efflux system RcnA	rcnA yohM b2106 JW2093
b2107	Nickel/cobalt homeostasis protein RcnB	rcnB yohN b2107 JW5346
b2108	Uncharacterized fimbrial-like protein YehA	yehA b2108 JW2095
b2109	Outer membrane usher protein YehB	yehB b2109 JW2096
b2110	Probable fimbrial chaperone YehC	yehC b2110 JW2097
b2111	Uncharacterized fimbrial-like protein YehD	yehD b2111 JW2098
b2112	Uncharacterized protein YehE	yehE b2112 JW2099
b2113	Iron-sulfur cluster carrier protein	mrp b2113 JW2100
b2114	Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	metG b2114 JW2101
b2115	Protein YehF	yehF dinO molR sosF b2115 b2116/b2117 b4499
b2118	Uncharacterized protein YehI	yehI b2118 JW2105
b4541	Uncharacterized protein YehK	yehK b4541 JW2106
