Entry	Gene Names	Protein names
P32714	mdtP yjcP b4080 JW4041	Multidrug resistance outer membrane protein MdtP
P32715	mdtO yjcQ b4081 JW4042	Multidrug resistance protein MdtO
P32716	mdtN yjcR b4082 JW4043	Multidrug resistance protein MdtN
P32718	alsK yjcT b4084 JW5724	D-allose kinase (Allokinase) (EC 2.7.1.55)
P32720	alsC yjcV b4086 JW4047	D-allose transport system permease protein AlsC
P32721	alsA yjcW b4087 JW4048	D-allose import ATP-binding protein AlsA (EC 7.5.2.8)
P33012	sbmC gyrI yeeB b2009 JW1991	DNA gyrase inhibitor
P33026	setB yeiO b2170 JW2157	Sugar efflux transporter B
P33030	yeiR b2173 JW2161	Zinc chaperone YeiR (EC 3.6.5.-)
P33129	htrE b0139 JW0135	Outer membrane usher protein HtrE (Heat shock protein E)
P33135	fliR flaP b1950 JW1934	Flagellar biosynthetic protein FliR
P33229	ralR lar ral ydaB b1348 JW5208	Endodeoxyribonuclease toxin RalR (DNase RalR) (EC 3.1.-.-) (Restriction alleviation and modification enhancement protein) (Toxin RalR)
P33358	mlrA yehV b2127 JW2115	HTH-type transcriptional regulator MlrA (MerR-like regulator A)
P33359	yehW b2128 JW2116	Glycine betaine uptake system permease protein YehW
P33360	yehX b2129 JW2117	Glycine betaine uptake system ATP-binding protein YehX (EC 7.4.2.-)
P33362	yehZ osmF b2131 JW2119	Glycine betaine-binding protein YehZ
P33363	bglX yohA b2132 JW2120	Periplasmic beta-glucosidase (EC 3.2.1.21) (Beta-D-glucoside glucohydrolase) (Cellobiase) (Gentiobiase)
P33570	tktB b2465 JW2449	Transketolase 2 (TK 2) (EC 2.2.1.1)
P33591	nikB b3477 JW3442	Nickel transport system permease protein NikB
P33593	nikD b3479 JW3444	Nickel import ATP-binding protein NikD (EC 7.2.2.11)
P33915	yejE b2179 JW2167	Inner membrane ABC transporter permease protein YejE
P33934	napH yejZ b2204 JW2192	Ferredoxin-type protein NapH (Ubiquinol--[NapC cytochrome c] reductase NapH subunit)
P33940	mqo yojH b2210 JW2198	Malate:quinone oxidoreductase (EC 1.1.5.4) (MQO) (Malate dehydrogenase [quinone])
P33941	yojI yojJ b2211 JW2199	ABC transporter ATP-binding/permease protein YojI
P36560	asr b1597 JW5826	Acid shock protein
P36659	cbpA b1000 JW0985	Curved DNA-binding protein
P36662	torD b0998 JW0983	Chaperone protein TorD
P36673	treR b4241 JW4200	HTH-type transcriptional regulator TreR (Trehalose operon repressor)
P36680	zapD yacF b0102 JW0099	Cell division protein ZapD (Z ring-associated protein D)
P36938	pgm b0688 JW0675	Phosphoglucomutase (PGM) (EC 5.4.2.2) (Glucose phosphomutase)
P36999	rlmA rrmA yebH b1822 JW1811	23S rRNA (guanine(745)-N(1))-methyltransferase (EC 2.1.1.187) (23S rRNA m1G745 methyltransferase) (Ribosomal RNA large subunit methyltransferase A)
P37002	crcB ybeI b0624 JW0619	Putative fluoride ion transporter CrcB
P37146	nrdF ygaD b2676 JW2651	Ribonucleoside-diphosphate reductase 2 subunit beta (EC 1.17.4.1) (R2F protein) (Ribonucleotide reductase 2)
P37180	hybB b2995 JW5494	Probable Ni/Fe-hydrogenase 2 b-type cytochrome subunit
P37194	slp b3506 JW3474	Outer membrane protein Slp
P37326	intS intC yfdB b2349 JW2345	Prophage integrase IntS (Putative prophage CPS-53 integrase)
P37338	glaR csiR gabC ygaE b2664 JW2639	HTH-type transcriptional repressor GlaR (Carbon starvation induced regulator) (GlaH operon repressor)
P37353	menE b2260 JW2255	2-succinylbenzoate--CoA ligase (EC 6.2.1.26) (o-succinylbenzoyl-CoA synthetase) (OSB-CoA synthetase)
P37355	menH yfbB b2263 JW2258	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase (SHCHC synthase) (EC 4.2.99.20)
P37387	xylF xylT b3566 JW3538	D-xylose-binding periplasmic protein
P37388	xylG b3567 JW3539	Xylose import ATP-binding protein XylG (EC 7.5.2.10)
P37596	norW flrR ygbD b2711 JW2681	Nitric oxide reductase FlRd-NAD(+) reductase (EC 1.18.1.-) (Flavorubredoxin reductase) (FlRd-reductase) (FlavoRb reductase)
P37619	yhhQ b3471 JW3436	Queuosine precursor transporter (Q precursor transporter)
P37621	yhhS b3473 JW5945	Uncharacterized MFS-type transporter YhhS
P37639	gadX yhiX b3516 JW3484	HTH-type transcriptional regulator GadX
P37646	pdeH yhjH b3525 JW3493	Cyclic di-GMP phosphodiesterase PdeH (EC 3.1.4.52)
P37651	bcsZ bcsC yhjM b3531 JW3499	Endoglucanase (EC 3.2.1.4) (Carboxymethylcellulase) (CMCase) (Cellulase) (Endo-1,4-beta-glucanase)
P37657	bcsE yhjS b3536 JW3504	Cyclic di-GMP binding protein BcsE (Cellulose biosynthesis protein BcsE)
P37665	yiaD b3552 JW5657	Probable lipoprotein YiaD
P37669	wecH yiaH b3561 JW3533	O-acetyltransferase WecH (EC 2.3.1.-)
P37672	dlgD yiaK b3575 JW3547	2,3-diketo-L-gulonate reductase (2,3-DKG reductase) (EC 1.1.1.130) (3-dehydro-L-gulonate 2-dehydrogenase)
P37675	yiaN b3578 JW5651	2,3-diketo-L-gulonate TRAP transporter large permease protein YiaN
P37677	lyx lyxK sgbK xylK yiaP b3580 JW3552	L-xylulose/3-keto-L-gulonate kinase (L-xylulokinase) (EC 2.7.1.-) (EC 2.7.1.53) (3-dehydro-L-gulonate kinase)
P37678	sgbH yiaQ b3581 JW3553	3-keto-L-gulonate-6-phosphate decarboxylase SgbH (KGPDC) (EC 4.1.1.85) (3-dehydro-L-gulonate-6-phosphate decarboxylase)
P37680	sgbE yiaS b3583 JW3555	L-ribulose-5-phosphate 4-epimerase SgbE (EC 5.1.3.4) (Phosphoribulose isomerase)
P37759	rfbB rmlB b2041 JW2026	dTDP-glucose 4,6-dehydratase 1 (EC 4.2.1.46)
P37760	rfbD rmlD b2040 JW2025	dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133) (dTDP-4-keto-L-rhamnose reductase) (dTDP-6-deoxy-L-lyxo-4-hexulose reductase) (dTDP-6-deoxy-L-mannose dehydrogenase) (dTDP-L-rhamnose synthase)
P37765	rluB yciL b1269 JW1261	Ribosomal large subunit pseudouridine synthase B (EC 5.4.99.22) (23S rRNA pseudouridine(2605) synthase) (rRNA pseudouridylate synthase B) (rRNA-uridine isomerase B)
P38097	dgcE yegE b2067 JW2052	Probable diguanylate cyclase DgcE (DGC) (EC 2.7.7.65)
P38101	eamB yfiK b2578 JW2562	Cysteine/O-acetylserine efflux protein
P38134	etk yccC b0981 JW0964	Tyrosine-protein kinase etk (EC 2.7.10.-)
P38684	torR b0995 JW0980	TorCAD operon transcriptional regulatory protein TorR
P39172	znuA yebL yzzP b1857 JW5831	High-affinity zinc uptake system protein ZnuA
P39199	prmB yfcB b2330 JW5841	50S ribosomal protein L3 glutamine methyltransferase (L3 MTase) (EC 2.1.1.298) (N5-glutamine methyltransferase PrmB)
P39280	epmB yjeK b4146 JW4106	L-lysine 2,3-aminomutase (LAM) (EC 5.4.3.-) (EF-P post-translational modification enzyme B)
P39288	queG yjeS b4166 JW4124	Epoxyqueuosine reductase (EC 1.17.99.6) (Queuosine biosynthesis protein QueG)
P39300	ulaG yjfR b4192 JW5868	Probable L-ascorbate-6-phosphate lactonase UlaG (EC 3.1.1.-) (L-ascorbate utilization protein G)
P39306	ulaF sgaE yjfX b4198 JW4156	L-ribulose-5-phosphate 4-epimerase UlaF (EC 5.1.3.4) (L-ascorbate utilization protein F) (Phosphoribulose isomerase)
P39310	ytfB b4206 JW5745	Cell division protein YtfB
P39333	bdcA yjgI b4249 JW4207	Cyclic-di-GMP-binding biofilm dispersal mediator protein
P39346	idnD yjgV b4267 JW4224	L-idonate 5-dehydrogenase (NAD(P)(+)) (EC 1.1.1.264)
P39358	yjhG b4297 JW4259	D-xylonate dehydratase YjhG (EC 4.2.1.82)
P39370	nanS yjhS b4309 JW4272	Probable 9-O-acetyl-N-acetylneuraminic acid deacetylase (Neu5,9Ac2 deacetylase) (EC 3.1.1.-) (Probable 9-O-acetyl-N-acetylneuraminate esterase) (Probable sialyl esterase NanS)
P39375	iraD yjiD b4326 JW5782	Anti-adapter protein IraD
P39376	yjiE qseD b4327 JW4290	HTH-type transcriptional regulator YjiE (Hypochlorite-response regulator protein YjiE) (Quorum-sensing regulator protein D)
P39394	symE dinL sosC yjiW b4347 JW4310	Toxic protein SymE (Putative endoribonuclease SymE) (EC 3.1.-.-)
P39400	lgoD yjjN b4358 JW5793	L-galactonate-5-dehydrogenase (EC 1.1.1.414)
P39401	mdoB opgB yjjO b4359 JW5794	Phosphoglycerol transferase I (EC 2.7.8.20) (Phosphatidylglycerol--membrane-oligosaccharide glycerophosphotransferase)
P39404	bglJ yjjR b4366 JW5955	Transcriptional activator protein BglJ
P39414	ttdT ygjC ygjE b3063 JW3035	L-tartrate/succinate antiporter (Tartrate carrier) (Tartrate transporter)
P39451	adhP yddN b1478 JW1474	Alcohol dehydrogenase, propanol-preferring (EC 1.1.1.1)
P39829	garD yhaG b3128 JW3097	Galactarate dehydratase (L-threo-forming) (GalcD) (EC 4.2.1.42)
P39832	znuB yebI b1859 JW1848	High-affinity zinc uptake system membrane protein ZnuB
P39835	gntT gntM usgA yhgC b3415 JW5690	High-affinity gluconate transporter (Gluconate permease) (Gnt-I system)
P40120	mdoD opgD ydcG yzzZ b1424 JW1420	Glucans biosynthesis protein D
P40719	qseC ygiY b3026 JW2994	Sensor protein QseC (EC 2.7.13.3)
P41441	gspF hofF hopF b3327 JW3289	Putative type II secretion system protein F (T2SS protein F) (General secretion pathway protein F) (Protein transport protein HofF)
P42592	ygjK b3080 JW3051	Glucosidase YgjK (EC 3.2.1.-)
P42604	uxaA ygjW b3091 JW3062	Altronate dehydratase (EC 4.2.1.7) (D-altronate hydro-lyase)
P42615	mzrA ecfM yqjB b3096 JW3067	Modulator protein MzrA
P42628	dlsT yhaO b3110 JW5519	Probable serine transporter
P43329	hrpA b1413 JW5905	ATP-dependent RNA helicase HrpA (EC 3.6.4.13)
P43671	pqiB pqi5B b0951 JW0934	Intermembrane transport protein PqiB (Paraquat-inducible protein B)
P43674	ycaL b0909 JW0892	Metalloprotease YcaL (EC 3.4.-.-)
P43676	pitB b2987 JW2955	Low-affinity inorganic phosphate transporter PitB
P45424	nanQ yhcH b3221 JW3190	N-acetylneuraminate anomerase NanQ (N-acetylneuraminate openase)
P45522	kefB trkB b3350 JW3313	Glutathione-regulated potassium-efflux system protein KefB (K(+)/H(+) antiporter) (NEM-activable K(+)/H(+) antiporter)
P45523	fkpA yzzS b3347 JW3309	FKBP-type peptidyl-prolyl cis-trans isomerase FkpA (PPIase) (EC 5.2.1.8) (Rotamase)
P45532	tusD yheN b3345 JW3307	Sulfurtransferase TusD (EC 2.8.1.-) (tRNA 2-thiouridine synthesizing protein D)
P45543	frlD yhfQ b3374 JW3337	Fructoselysine 6-kinase (EC 2.7.1.218)
P45548	php yhfV b3379 JW3342	Phosphotriesterase homology protein (EC 3.1.-.-)
P45578	luxS ygaG b2687 JW2662	S-ribosylhomocysteine lyase (EC 4.4.1.21) (AI-2 synthesis protein) (Autoinducer-2 production protein LuxS)
P45579	hcxA ybdH b0599 JW0592	Hydroxycarboxylate dehydrogenase A (EC 1.1.1.-) (2-oxobutanoate reductase) (2-oxoglutarate reductase)
P45758	gspD yheF b3325 JW5707	Putative secretin GspD (Putative general secretion pathway protein D) (Putative type II secretion system protein D) (T2SS protein D)
P45768	yhdY b3270 JW5545	Inner membrane amino-acid ABC transporter permease protein YhdY
P45799	nudE yrfE b3397 JW3360	ADP compounds hydrolase NudE (EC 3.6.1.-)
P46130	ybhC b0772 JW0755	Putative acyl-CoA thioester hydrolase YbhC (EC 3.1.2.-)
P46133	abgT ydaH b1336 JW5822 ECK1332	p-aminobenzoyl-glutamate transport protein (PABA-GLU transport protein)
P46187	rseC b2570 JW2554	Protein RseC
P46852	yhhW b3439 JW3402	Quercetin 2,3-dioxygenase (Quercetinase) (EC 1.13.11.24) (Pirin-like protein YhhW)
P46923	torZ bisZ b1872 JW1861	Trimethylamine-N-oxide reductase 2 (TMAO reductase 2) (Trimethylamine oxidase 2) (EC 1.7.2.3)
P50466	aer air yqjJ b3072 JW3043	Aerotaxis receptor
P51020	mhpE b0352 JW0343	4-hydroxy-2-oxovalerate aldolase (HOA) (EC 4.1.3.39) (4-hydroxy-2-keto-pentanoic acid aldolase) (4-hydroxy-2-oxopentanoate aldolase)
P51025	frmB yaiM b0355 JW0346	S-formylglutathione hydrolase FrmB (FGH) (EC 3.1.2.12)
P51981	ycjG ycjH b1325 JW1318	L-Ala-D/L-Glu epimerase (AE epimerase) (AEE) (EC 5.1.1.20)
P52005	torY yecK b1873 JW1862	Cytochrome c-type protein TorY
P52045	scpB mmcD ygfG b2919 JW2886	Methylmalonyl-CoA decarboxylase (MMCD) (EC 4.1.1.-) (Transcarboxylase)
P52062	hemW yggW b2955 JW2922	Heme chaperone HemW
P52094	hisQ b2308 JW2305	Histidine transport system permease protein HisQ
P52097	tilS mesJ yaeN b0188 JW0183	tRNA(Ile)-lysidine synthase (EC 6.3.4.19) (tRNA(Ile)-2-lysyl-cytidine synthase) (tRNA(Ile)-lysidine synthetase)
P52126	abpB yfjK b2627 JW2608	Anti-bacteriophage protein B (Probable helicase AbpB)
P52130	rnlB yfjO b2631 JW5418	Antitoxin RnlB
P52599	emrK b2368 JW2365	Probable multidrug resistance protein EmrK
P52613	fliJ flaO flaS b1942 JW1926	Flagellar FliJ protein
P52643	ldhA hslI htpH b1380 JW1375	D-lactate dehydrogenase (D-LDH) (EC 1.1.1.28) (Fermentative lactate dehydrogenase)
P55798	pphA prpA yebX b1838 JW1827	Serine/threonine-protein phosphatase 1 (EC 3.1.3.16)
P58034	ymgF b4520 JW1156	Inner membrane protein YmgF
P60293	mukF kicB b0922 JW0905	Chromosome partition protein MukF (Protein KicB)
P60390	rsmH mraW yabC b0082 JW0080	Ribosomal RNA small subunit methyltransferase H (EC 2.1.1.199) (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH)
P60546	gmk spoR b3648 JW3623	Guanylate kinase (EC 2.7.4.8) (GMP kinase)
P60584	caiA yaaO b0039 JW0038	Crotonobetainyl-CoA reductase (EC 1.3.8.13) (Crotobetaine reductase) (Crotonobetainyl-CoA dehydrogenase)
P60757	hisG b2019 JW2001	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)
P60782	plsY ygiH b3059 JW3031	Probable glycerol-3-phosphate acyltransferase (G3P acyltransferase) (GPAT) (EC 2.3.1.15, EC 2.3.1.n5) (Lysophosphatidic acid synthase) (LPA synthase)
P60906	hisS b2514 JW2498	Histidine--tRNA ligase (EC 6.1.1.21) (Histidyl-tRNA synthetase) (HisRS)
P61517	can cynT2 yadF b0126 JW0122	Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase 2)
P61714	ribE ribH ybaF b0415 JW0405	6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)
P61949	fldA b0684 JW0671	Flavodoxin 1 (Flavodoxin A)
P62395	secM srrA yacA b0097 JW5007	Secretion monitor
P62517	mdoH opgH b1049 JW1037	Glucans biosynthesis glucosyltransferase H (EC 2.4.1.-)
P62601	treF b3519 JW3487	Cytoplasmic trehalase (EC 3.2.1.28) (Alpha,alpha-trehalase) (Alpha,alpha-trehalose glucohydrolase)
P62615	ispE ipk ychB b1208 JW1199	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (CMK) (EC 2.7.1.148) (4-(cytidine-5'-diphospho)-2-C-methyl-D-erythritol kinase)
P63177	rlmB yjfH b4180 JW4138	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB (EC 2.1.1.185) (23S rRNA (guanosine2251 2'-O)-methyltransferase) (23S rRNA Gm2251 2'-O-methyltransferase)
P63183	kup trkD b3747 JW5609	Low affinity potassium transport system protein kup (Kup system potassium uptake protein)
P63201	gadW yhiW b3515 JW3483	HTH-type transcriptional regulator GadW
P63746	eutS ypfE b2462 JW2446	Bacterial microcompartment shell protein EutS (Ethanolamine utilization protein EutS)
P64550	alaE ygaW b2670 JW2645	L-alanine exporter AlaE
P64554	queE ygcF b2777 JW2748	7-carboxy-7-deazaguanine synthase (CDG synthase) (EC 4.3.99.3) (Queuosine biosynthesis protein QueE)
P64559	sdhE cptB ygfY b2897 JW2865	FAD assembly factor SdhE (Antitoxin CptB)
P64578	higB ygjN b3083 JW3054	mRNA interferase toxin HigB (EC 3.1.-.-) (Endoribonuclease HigB) (Toxin HigB)
P64581	yqjD b3098 JW3069	Uncharacterized protein YqjD
P64612	zapE yhcM b3232 JW3201	Cell division protein ZapE (Z ring-associated protein ZapE)
P64646	ghoT yjdO b4559 JW5732	Toxin GhoT
P65643	eutT ypfB b2459 JW2443	Corrinoid adenosyltransferase EutT (ATP:co(I)rrinoid adenosyltransferase) (ACAT) (Cob(II)alamin adenosyltransferase EutT) (Ethanolamine utilization cobalamin adenosyltransferase) (Ethanolamine utilization corrinoid adenosyltransferase) (EutT adenosyltransferase)
P65870	queD ygcM b2765 JW2735	6-carboxy-5,6,7,8-tetrahydropterin synthase (CPH4 synthase) (EC 4.1.2.50) (Queuosine biosynthesis protein QueD)
P67080	yggS b2951 JW2918	Pyridoxal phosphate homeostasis protein (PLP homeostasis protein)
P67095	yfcE b2300 JW5377	Phosphodiesterase YfcE (EC 3.1.4.-)
P67697	hicB ydcQ b1438 JW1433	Antitoxin HicB
P68066	grcA yfiD b2579 JW2563	Autonomous glycyl radical cofactor
P68191	sra rpsV b1480 JW5962	Stationary-phase-induced ribosome-associated protein (Protein D) (SRA) (30S ribosomal protein S22)
P68567	rsmJ yhiQ b3497 JW5672	Ribosomal RNA small subunit methyltransferase J (EC 2.1.1.242) (16S rRNA m2G1516 methyltransferase) (rRNA (guanine-N(2)-)-methyltransferase)
P69222	infA b0884 JW0867	Translation initiation factor IF-1
P69330	citD ybdX b0617 JW0609	Citrate lyase acyl carrier protein (Citrate lyase gamma chain)
P69432	pgaD ycdP b1021 JW1006	Biofilm PGA synthesis protein PgaD
P69434	pgaA ycdS b1024 JW1010	Poly-beta-1,6-N-acetyl-D-glucosamine export protein (PGA export protein) (Poly-beta-1,6-GlcNAc export protein)
P69488	cutA cutA1 cycY b4137 JW4097	Divalent-cation tolerance protein CutA (C-type cytochrome biogenesis protein CycY)
P69503	apt b0469 JW0458	Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)
P69506	ytfE b4209 JW4167	Iron-sulfur cluster repair protein YtfE (Regulator of cell morphogenesis and NO signaling) (RCMNS)
P69820	ulaC ptxA sgaA yjfU b4195 JW4153	Ascorbate-specific PTS system EIIA component (Ascorbate-specific phosphotransferase enzyme IIA component)
P69829	ptsN rpoP yhbI b3204 JW3171	Nitrogen regulatory protein (Enzyme IIA-NTR) (PTS system EIIA component) (Phosphotransferase enzyme IIA component)
P69831	gatC b2092 JW2076	PTS system galactitol-specific EIIC component (EIIC-Gat) (Galactitol permease IIC component)
P71229	hyfR b2491 JW2476	DNA-binding transcriptional activator HyfR (Hydrogenase-4 transcriptional activator)
P75713	allE glxB6 ylbA b0515 JW0503	(S)-ureidoglycine aminohydrolase (UGHY) (UGlyAH) (EC 3.5.3.26)
P75726	citF ybdV b0615 JW5087	Citrate lyase alpha chain (Citrase alpha chain) (EC 4.1.3.6) (Citrate (pro-3S)-lyase alpha chain) (Citrate CoA-transferase subunit) (EC 2.8.3.10)
P75783	ybiO b0808 JW5108	Moderate conductance mechanosensitive channel YbiO
P75796	gsiA yliA b0829 JW5897	Glutathione import ATP-binding protein GsiA (EC 7.4.2.10)
P75797	gsiB yliB b0830 JW5111	Glutathione-binding protein GsiB
P75798	gsiC yliC b0831 JW0815	Glutathione transport system permease protein GsiC
P75801	dgcI yliF b0834 JW0818	Probable diguanylate cyclase DgcI (DGC) (EC 2.7.7.65) (Putative lipoprotein DgcI)
P75806	ybjG b0841 JW5112	Putative undecaprenyl-diphosphatase YbjG (EC 3.6.1.27) (Undecaprenyl pyrophosphate phosphatase)
P75824	hcr ybjV b0872 JW5117	NADH oxidoreductase HCR (EC 1.-.-.-)
P75838	ycaO b0905 JW0888	Ribosomal protein S12 methylthiotransferase accessory factor YcaO
P75851	ssuC ycbM b0934 JW5121	Putative aliphatic sulfonates transport permease protein SsuC
P75869	sxy tfoX yccR b0959 JW0942	Protein Sxy (Competence activator Sxy)
P75893	rutF ycdH b1007 JW5138	FMN reductase (NADH) RutF (EC 1.5.1.42) (FMN reductase) (NADH-flavin reductase RutF) (NADH:flavin oxidoreductase)
P75894	rutE ycdI b1008 JW0993	Probable malonic semialdehyde reductase RutE (EC 1.1.1.298)
P75895	rutD ycdJ b1009 JW0994	Putative carbamate hydrolase RutD (EC 3.5.1.-) (Aminohydrolase)
P75897	rutB ycdL b1011 JW5139	Ureidoacrylate amidohydrolase RutB (EC 3.5.1.110)
P75905	pgaC ycdQ b1022 JW1007	Poly-beta-1,6-N-acetyl-D-glucosamine synthase (PGA synthase) (Poly-beta-1,6-GlcNAc synthase) (EC 2.4.1.-) (Biofilm PGA synthesis protein PgaC) (N-acetylglucosaminyltransferase PgaC)
P75919	clsC ymdC b1046 JW5150	Cardiolipin synthase C (CL synthase) (EC 2.7.8.-)
P75952	comR ycfQ b1111 JW5159	HTH-type transcriptional repressor ComR (Copper outer membrane regulator)
P75954	ycfS b1113 JW5820	Probable L,D-transpeptidase YcfS (EC 2.-.-.-)
P75958	lolE ycfW b1118 JW1104	Lipoprotein-releasing system transmembrane protein LolE
P75966	rluE ymfC b1135 JW1121	Ribosomal large subunit pseudouridine synthase E (EC 5.4.99.20) (rRNA pseudouridylate synthase E) (rRNA-uridine isomerase E)
P75989	bluR ycgE b1162 JW1149	HTH-type transcriptional repressor BluR
P75993	ariR ymgB b1166 JW1153	Probable two-component-system connector protein AriR
P76016	dhaR ycgU b1201 JW5188	PTS-dependent dihydroxyacetone kinase operon regulatory protein
P76041	ycjM ggaP b1309 JW1302	Glucosylglycerate phosphorylase (GGa phosphorylase) (GGaP) (EC 2.4.1.352)
P76044	ycjR b1314 JW5202	3-dehydro-D-guloside 4-epimerase (EC 5.1.3.-) (3-keto-D-guloside 4-epimerase)
P76052	abgB ydaI b1337 JW1331 ECK1333	p-aminobenzoyl-glutamate hydrolase subunit B (EC 3.5.1.-) (PABA-GLU hydrolase) (PGH)
P76079	paaC ydbP b1390 JW1385	1,2-phenylacetyl-CoA epoxidase, subunit C (1,2-phenylacetyl-CoA epoxidase, structural subunit beta) (1,2-phenylacetyl-CoA monooxygenase, subunit C)
P76083	paaH ydbU b1395 JW1390	3-hydroxyadipyl-CoA dehydrogenase (EC 1.1.1.-)
P76085	paaK b1398 JW5218	Phenylacetate-coenzyme A ligase (EC 6.2.1.30) (Phenylacetyl-CoA ligase) (PA-CoA ligase)
P76086	paaX ydbY b1399 JW1394	Transcriptional repressor PaaX
P76106	hicA yncN b4532 JW5230	Probable mRNA interferase toxin HicA (EC 3.1.-.-) (Endoribonuclease HicA) (Toxin HicA)
P76112	mnaT yncA b1448 JW5233	L-amino acid N-acyltransferase MnaT (EC 2.3.1.-) (L-methionine N-acyltransferase) (L-methionine sulfoximine/L-methionine sulfone N-acetyltransferase) (L-phenylglycine N-acetyltransferase)
P76113	curA yncB b1449 JW5907	NADPH-dependent curcumin reductase (EC 1.3.1.n3) (NADPH-dependent curcumin/dihydrocurcumin reductase)
P76136	safA yneN b1500 JW1494.1	Two-component-system connector protein SafA (Regulatory protein b1500) (Sensor associating factor A)
P76141	lsrR ydeW b1512 JW1505	Transcriptional regulator LsrR
P76143	lsrF yneB b1517 JW1510	3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase (EC 2.3.1.245)
P76145	tam yneD b1519 JW1512	Trans-aconitate 2-methyltransferase (EC 2.1.1.144)
P76147	dgcF yneF b1522 JW5825	Probable diguanylate cyclase DgcF (DGC) (EC 2.7.7.65)
P76190	mepH ydhO b1655 JW5270	Murein DD-endopeptidase MepH (EC 3.4.-.-) (Murein hydrolase MepH)
P76194	sufE ynhA b1679 JW1669	Cysteine desulfuration protein SufE
P76215	astE ydjS b1744 JW1733	Succinylglutamate desuccinylase (EC 3.5.1.96)
P76217	astD ydjU b1746 JW5282	N-succinylglutamate 5-semialdehyde dehydrogenase (EC 1.2.1.71) (Succinylglutamic semialdehyde dehydrogenase) (SGSD)
P76242	nimT yeaN b1791 JW1780	2-nitroimidazole transporter
P76245	dgcP yeaP b1794 JW5292	Diguanylate cyclase DgcP (DGC) (EC 2.7.7.65)
P76250	dmlR yeaT b1799 JW1788	HTH-type transcriptional regulator DmlR (D-malate degradation protein R)
P76264	mntP yebN b1821 JW5830	Probable manganese efflux pump MntP
P76272	yebT b1834 JW1823	Intermembrane transport protein YebT
P76290	cmoA yecO b1870 JW1859	Carboxy-S-adenosyl-L-methionine synthase (Cx-SAM synthase) (EC 2.1.3.-)
P76291	cmoB yecP b1871 JW1860	tRNA U34 carboxymethyltransferase (EC 2.5.1.-)
P76298	flhA b1879 JW1868	Flagellar biosynthesis protein FlhA
P76299	flhB yecQ b1880 JW1869	Flagellar biosynthetic protein FlhB
P76340	hprR yedW b1969 JW5322	Transcriptional regulatory protein HprR (Hydrogen peroxide response regulator)
P76346	mtfA yeeI b1976 JW1958	Protein MtfA (Mlc titration factor A)
P76350	shiA yeeM b1981 JW1962	Shikimate transporter (Shikimate permease)
P76352	yeeO b1985 JW1965	Probable FMN/FAD exporter YeeO
P76372	wzzB cld rol wzz b2027 JW5836	Chain length determinant protein (Polysaccharide antigen chain regulator)
P76373	ugd pmrE udg yefA b2028 JW2010	UDP-glucose 6-dehydrogenase (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH) (EC 1.1.1.22)
P76395	pphC yegK b2072 JW2057	Serine/threonine-protein phosphatase 3 (EC 3.1.3.16) (PP2C-like Ser/Thr phosphatase) (Protein phosphatase C)
P76397	mdtA yegM b2074 JW5338	Multidrug resistance protein MdtA (Multidrug transporter MdtA)
P76403	trhP yegQ b2081 JW2066	tRNA hydroxylation protein P (EC 3.4.-.-)
P76423	thiM b2104 JW2091	Hydroxyethylthiazole kinase (EC 2.7.1.50) (4-methyl-5-beta-hydroxyethylthiazole kinase) (TH kinase) (Thz kinase)
P76425	rcnA yohM b2106 JW2093	Nickel/cobalt efflux system RcnA
P76473	arnT pmrK yfbI b2257 JW2251	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase (EC 2.4.2.43) (4-amino-4-deoxy-L-arabinose lipid A transferase) (Lipid IV(A) 4-amino-4-deoxy-L-arabinosyltransferase) (Polymyxin resistance protein PmrK) (Undecaprenyl phosphate-alpha-L-Ara4N transferase)
P76502	sixA yfcW b2340 JW2337	Phosphohistidine phosphatase SixA (EC 3.1.3.-) (RX6)
P76536	yfeX b2431 JW2424	Dye-decolorizing peroxidase YfeX (EC 1.11.1.-) (Porphyrinogen oxidase)
P76578	yfhM b2520 JW2504	Alpha-2-macroglobulin (ECAM)
P76641	guaD ygfP b2883 JW5466	Guanine deaminase (Guanase) (Guanine aminase) (EC 3.5.4.3) (Guanine aminohydrolase) (GAH)
P76773	ompL yshA b3875 JW3846	Porin OmpL
P76938	epmC yfcM b2326 JW5381	Elongation factor P hydroxylase (EF-P hydroxylase) (EC 1.14.-.-) (EF-P post-translational modification enzyme C)
P77154	ycjT b1316 JW1309	Kojibiose phosphorylase (EC 2.4.1.230)
