	protein	gene
YP_004889596.1	DegV family protein	lp_1796
YP_004889597.1	Acetyltransferase, GNAT family (EC 2.3.1.-)	lp_1797
YP_004889598.1	Hypothetical membrane protein, DUF975 family	lp_1798
YP_004889599.1	Cell wall anchor protein	lp_1799
YP_004889600.1	RNA-binding protein	lp_1800
YP_004889601.1	Galactose-1-phosphate uridylyltransferase, HIT family	lp_1801
YP_004889602.1	Transport protein, major facilitator subfamily (MFS)	lp_1803
YP_004889603.1	Lipoprotein	lp_1805
YP_004889604.1	DUF960 domain-containing protein	lp_1806
YP_004889605.1	Hypothetical membrane protein, DUF1003 family	lp_1807
YP_004889606.1	Hypothetical membrane protein, DUF368 family	lp_1809
YP_004889607.1	Amino acid transport protein	lp_1811
YP_004889608.1	Lipoprotein	lp_1812
YP_004889609.1	DUF4192 family protein	lp_1813
YP_004889610.1	L-lactate permease	lp_1814
YP_004889611.1	Hypothetical membrane protein	lp_1815
YP_004889612.1	Ribitol-5-phosphate cytidylyltransferase (EC 2.7.7.40)	tarI lp_1816
YP_004889613.1	Ribulose-5-phosphate reductase (Ribulose-5-P reductase) (EC 1.1.1.405) (Ribitol-5-phosphate dehydrogenase)	tarJ lp_1817
YP_004889614.1	Ribitolphosphotransferase	tarK lp_1818
YP_004889615.1	Ribitolphosphotransferase	tarL lp_1819
YP_004889616.1	Acetyltransferase, GNAT family (EC 2.3.1.-)	lp_1820
YP_004889617.1	Transcription regulator, MarR family	lp_1821
YP_004889618.1	Glutathione reductase (EC 1.8.1.7)	gshR3 lp_1822
YP_004889619.1	Hypothetical membrane protein	lp_1823
YP_004889620.1	Glycosyltransferase, family 2 (EC 2.4.1.-)	lp_1824
YP_004889621.1	Hypothetical membrane protein	lp_1825
YP_004889622.1	Integrase, N-terminal SAM-like	lp_1833
YP_004889623.1	YozE_SAM_like domain-containing protein	lp_1834
YP_004889624.1	Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase)	msrA msrA2 lp_1835
YP_004889625.1	Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase)	msrB msrA3 lp_1836
YP_004889626.1	Probable manganese-dependent inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)	ppaC lp_1837
YP_004889627.1	Transcription regulator, LysR family	lp_1838
YP_004889628.1	DNA topoisomerase 4 subunit A (EC 5.6.2.2) (Topoisomerase IV subunit A)	parC lp_1839
YP_004889629.1	DNA topoisomerase 4 subunit B (EC 5.6.2.2) (Topoisomerase IV subunit B)	parE lp_1840
YP_004889630.1	Glycerol-3-phosphate acyltransferase (Acyl-PO4 G3P acyltransferase) (Acyl-phosphate--glycerol-3-phosphate acyltransferase) (G3P acyltransferase) (GPAT) (EC 2.3.1.275) (Lysophosphatidic acid synthase) (LPA synthase)	plsY lp_1842
YP_004889631.1	Aldose 1-epimerase family protein	lp_1843
YP_004889632.1	ATP-dependent protease ATPase subunit HslU (Unfoldase HslU)	hslU lp_1845
YP_004889633.1	ATP-dependent protease subunit HslV (EC 3.4.25.2)	hslV lp_1846
YP_004889634.1	Tyrosine recombinase XerC	xerC lp_1847
YP_004889635.1	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO (EC 2.1.1.74) (Folate-dependent tRNA (uracil-5-)-methyltransferase) (Folate-dependent tRNA(M-5-U54)-methyltransferase)	trmFO gid gidC lp_1848
YP_004889636.1	DNA topoisomerase 1 (EC 5.6.2.1) (DNA topoisomerase I)	topA lp_1850
YP_004889637.1	DNA processing protein	dprA lp_1852
YP_004889638.1	Ribonuclease HII (RNase HII) (EC 3.1.26.4)	rnhB lp_1853
YP_004889639.1	Ribosome biogenesis GTPase A	lp_1854
YP_004889641.1	5-methyltetrahydropteroyltriglutamate-homocysteine methyltransferase (Cobalamine-independent methonine synthase)	lp_1856
YP_004889642.1	Transcription regulator, LysR family	lp_1857
YP_004889643.1	Mrr restriction system protein	mrr lp_1858
YP_004889644.1	NADP oxidoreductase coenzyme, F420-dependent (EC 1.1.1.-)	lp_1859
YP_004889645.1	Flavin monooxygenase, luciferase-like monooxygenase family (EC 1.14.-.-)	lp_1860
YP_004889646.1	Drug resistance transport protein, major facilitator subfamily (MFS), EmrB/QacA subfamily	lp_1863
YP_004889647.1	Carboxy-terminal proteinase, S41 family,peptidoglycan-bound (EC 3.4.21.102)	ctpA lp_1864
YP_004889648.1	UPF0346 protein lp_1865	lp_1865
YP_004889649.1	Extracellular protein, DUF2140 family	lp_1866
YP_004889650.1	Extracellular lipase/acylhydrolase with GDSL-like motif	lp_1867
YP_004889651.1	DegV family protein	lp_1868
YP_004889652.1	Dihydrofolate reductase (EC 1.5.1.3)	dfrA lp_1869
YP_004889653.1	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	thyA lp_1870
YP_004889654.1	ABC transporter, ATP-binding protein, ChvD family	lp_1871
YP_004889655.1	DUF3598 domain-containing protein	lp_1872
YP_004889656.1	CCA-adding enzyme (EC 2.7.7.72) (CCA tRNA nucleotidyltransferase) (tRNA CCA-pyrophosphorylase) (tRNA adenylyl-/cytidylyl- transferase) (tRNA nucleotidyltransferase) (tRNA-NT)	cca lp_1873
YP_004889657.1	4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8)	dapB lp_1874
YP_004889658.1	Hydrolase, HAD superfamily, Cof family	lp_1876
YP_004889659.1	TPR_REGION domain-containing protein	lp_1877
YP_004889660.1	DNA-binding protein HU	hbsU lp_1879
YP_004889661.1	Uncharacterized protein	lp_1880
YP_004889662.1	GTPase Der (GTP-binding protein EngA)	der engA lp_1881
YP_004889663.1	30S ribosomal protein S1	rpsA lp_1882
YP_004889664.1	Cytidylate kinase (CK) (EC 2.7.4.25) (Cytidine monophosphate kinase) (CMP kinase)	cmk lp_1883
YP_004889665.1	Extracellular protein, with LysM peptidoglycan binding domain	lp_1884
YP_004889666.1	ATP-dependent DNA helicase RecQ (EC 3.6.1.-)	recQ2 lp_1885
YP_004889667.1	HTH_40 domain-containing protein	lp_1886
YP_004889668.1	Riboflavin transporter	lp_1887
YP_004889669.1	Pseudouridine synthase (EC 5.4.99.-)	rluB lp_1888
YP_004889670.1	Segregation and condensation protein B	scpB lp_1889
YP_004889671.1	Segregation and condensation protein A	scpA lp_1890
YP_004889672.1	RibT protein	lp_1891
YP_004889673.1	Tyrosine recombinase XerD	xerD lp_1892
YP_004889674.1	RNA-binding protein	lp_1893
YP_004889675.1	UPF0756 membrane protein lp_1894	lp_1894
YP_004889676.1	Pyruvate kinase (EC 2.7.1.40)	pyk lp_1897
YP_004889677.1	ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)	pfkA pfk lp_1898
YP_004889678.1	DNA polymerase III subunit alpha (EC 2.7.7.7)	dnaE lp_1899
YP_004889679.1	Hypothetical membrane protein, DUF2929 family	lp_1900
YP_004889680.1	Chaperone protein ClpB	clpB lp_1903
YP_004889681.1	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)	pepT lp_1904
YP_004889682.1	GTP cyclohydrolase 1 type 2 homolog	lp_1905
YP_004889683.1	S-adenosyl-L-methionine-dependent methyltransferase	lp_1906
YP_004889684.1	Hypothetical membrane protein	lp_1908
YP_004889685.1	Transport permease protein	drrB lp_1909
YP_004889686.1	ABC transporter, ATP-binding protein,daunorubicin resistance family A (Drr)	drrA lp_1910
YP_004889687.1	Transcription regulator, MarR family	lp_1911
YP_004889688.1	Phosphoenolpyruvate synthase (PEP synthase) (EC 2.7.9.2) (Pyruvate, water dikinase)	pps lp_1912
YP_004889689.1	Rhodanese domain-containing protein	lp_1913
YP_004889690.1	Transcription regulator, MarR family	lp_1914
YP_004889691.1	Lipoprotein	lp_1915
YP_004889692.1	Hypothetical membrane protein	lp_1916
YP_004889693.1	NAD(P)(H)-dependent oxidoreductase, quinone oxidoreductase (QOR) family	lp_1918
YP_004889694.1	Cadmium-/manganese-transporting P-type ATPase	mntA lp_1919
YP_004889695.1	Enolase 2 (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase 2) (2-phosphoglycerate dehydratase 2)	eno2 enoA2 enoB lp_1920
YP_004889696.1	Drug resistance transport protein, major facilitator subfamily (MFS), EmrB/QacA subfamily	lp_1921
YP_004889697.1	Transcription regulator, MarR family	lp_1922
YP_004889698.1	Probable succinyl-diaminopimelate desuccinylase (EC 3.5.1.18)	dapE1 lp_1923
YP_004889699.1	NADH oxidase (EC 1.6.-.-)	nox3 lp_1925
YP_004889700.1	Transcription regulator, DeoR family	lp_1926
YP_004889701.1	Phosphohydrolase, MutT/nudix family	mutT lp_1927
YP_004889702.1	RNA polymerase (RNAP)-binding regulatory protein, arsenate reductase (ArsC) family, Spx subfamily	spx2 lp_1928
YP_004889703.1	DUF1722 domain-containing protein	lp_1929
YP_004889704.1	Oxidoreductase, atypical SDR family, subgroup 6	lp_1930
YP_004889705.1	SWIM-type domain-containing protein	lp_1931
YP_004889706.1	Phosphohydrolase (EC 3.6.1.1)	lp_1932
YP_004889707.1	Galactoside O-acetyltransferase (EC 2.3.1.18)	thgA2 lp_1933
YP_004889708.1	Transcription regulator, RpiR family	lp_1934
YP_004889709.1	Cell surface hydrolase, membrane-bound	lp_1935
YP_004889710.1	Oxidoreductase, atypical SDR family, subgroup 6	lp_1936
YP_004889711.1	DUF2255 family protein	lp_1937
YP_004889712.1	Transcription regulator, LysR family	lp_1938
YP_004889713.1	Oxidoreductase, medium chain dehydrogenases/reductase (MDR)/zinc-dependent alcohol dehydrogenase-like family (EC 1.-.-.-)	lp_1939
YP_008479738.1	NA	NA
YP_004889714.1	NADH oxidase (EC 1.6.99.-)	nox4 lp_1941
YP_004889715.1	Two-component system response regulator, LuxR family	rrp6 lp_1942
YP_004889716.1	Two-component system histidine protein kinase sensor protein (EC 2.7.3.-)	hpk6 lp_1943
YP_004889717.1	Multidrug ABC transporter, permease protein	lp_1944
YP_004889718.1	Multidrug ABC transporter, ATP-binding protein	lp_1945
YP_004889719.1	Hypothetical membrane protein	lp_1946
YP_004889720.1	Acetyltransferase, GNAT family	lp_1947
YP_004889721.1	Transcription regulator, MarR family	lp_1948
YP_004889722.1	Hypothetical membrane protein	lp_1949
YP_008479739.1	NA	NA
YP_004889723.1	DUF2992 family protein	lp_1953
YP_004889724.1	ABC transporter, ATP-binding protein	lp_1954
YP_004889725.1	ABC transporter, permease protein	lp_1955
YP_004889726.1	ABC transporter, permease protein	lp_1956
YP_004889727.1	ABC transporter, permease protein	lp_1957
YP_004889728.1	Acetoin ABC transporter, ATP-binding protein	lp_1958
YP_004889729.1	Acetoin transport repressor, GntR family	lp_1959
YP_004889730.1	RNA polymerase sigma factor SigA	rpoD sigA lp_1962
YP_004889731.1	DNA primase (EC 2.7.7.101)	dnaG lp_1963
YP_004889732.1	Glycine--tRNA ligase beta subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase beta subunit) (GlyRS)	glyS lp_1964
YP_004889733.1	Glycine--tRNA ligase alpha subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase alpha subunit) (GlyRS)	glyQ lp_1965
YP_004889734.1	DNA repair protein RecO (Recombination protein O)	recO lp_1966
YP_004889735.1	GTPase Era	era lp_1967
YP_004889736.1	Diacylglycerol kinase (EC 2.7.1.107)	dgk lp_1968
YP_004889737.1	Endoribonuclease YbeY (EC 3.1.-.-)	ybeY lp_1969
YP_004889738.1	Phosphate starvation-inducible protein	phoH lp_1970
YP_004889739.1	GatB/YqeY domain-containing protein	lp_1972
YP_004889740.1	30S ribosomal protein S21	rpsU lp_1973
YP_004889741.1	Putative pyruvate, phosphate dikinase regulatory protein (PPDK regulatory protein) (EC 2.7.11.32) (EC 2.7.4.27)	lp_1974
YP_004889742.1	Short-chain dehydrogenase/oxidoreductase (EC 1.-.-.-)	lp_1975
YP_004889743.1	Probable endonuclease 4 (EC 3.1.21.2) (Endodeoxyribonuclease IV) (Endonuclease IV)	nfo lp_1976
YP_004889744.1	Glycosyl/glycerophosphate transferase, teichoic acid biosynthesis protein B	tagB3 lp_1977
YP_004889745.1	Hypothetical membrane protein	lp_1978
YP_004889746.1	Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase)	msrA msrA3 lp_1979
YP_004889747.1	Aspartate--tRNA ligase (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS)	aspS lp_1980
YP_004889748.1	Histidine--tRNA ligase (EC 6.1.1.21) (Histidyl-tRNA synthetase) (HisRS)	hisS lp_1981
YP_004889749.1	Probable cell wall amidase lytH (EC 3.5.1.-)	lytH lp_1982
YP_004889750.1	Probable ketoamine kinase lp_1983 (EC 2.7.1.-)	lp_1983
YP_004889751.1	Phosphohydrolase (EC 3.6.1.1, EC 3.6.1.40)	lp_1985
YP_004889752.1	D-aminoacyl-tRNA deacylase (DTD) (EC 3.1.1.96) (Gly-tRNA(Ala) deacylase)	dtd lp_1986
YP_004889753.1	GTP diphosphokinase (EC 2.7.6.5)	relA lp_1987
YP_004889754.1	Hypothetical membrane protein	lp_1988
YP_004889755.1	Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.193)	rsmE lp_1989
YP_004889756.1	Ribosomal protein L11 methyltransferase (L11 Mtase) (EC 2.1.1.-)	prmA lp_1990
YP_004889757.1	Putative 3-methyladenine DNA glycosylase (EC 3.2.2.-)	lp_1991
YP_004889758.1	Phage protein	lp_1992
YP_004889759.1	DUF3892 domain-containing protein	lp_1994
YP_004889760.1	Lipoprotein	lp_1995
YP_008479740.1	NA	NA
YP_004889762.1	Uncharacterized protein	lp_2000
YP_004889763.1	Hypothetical membrane protein	lp_2001
YP_004889764.1	Structural protein	lp_2002
YP_004889765.1	Zinc metallopeptidase	lp_2003
YP_004889766.1	Hypothetical membrane protein	lp_2004
YP_004889767.1	Transposase	ISP1-5C lp_2005
YP_004889768.1	Transposase	ISP2_3 lp_2006
YP_004889772.1	Transposase	lp_2011
YP_004889773.1	Transposase	lp_2011a
YP_004889774.1	Transposase	lp_2013
YP_004889775.1	Transposase	lp_2013a
YP_004889776.1	Transposase	lp_2014
YP_004889777.1	Elongation factor 4 1 (EF-4 1) (EC 3.6.5.n1) (Ribosomal back-translocase LepA 1)	lepA1 lp_2015
YP_004889778.1	Protein DltD	dltD lp_2016
YP_004889779.1	D-alanyl carrier protein 1 (DCP 1) (D-alanine--poly(phosphoribitol) ligase subunit 2-1)	dltC1 lp_2017
YP_004889780.1	Teichoic acid D-alanyltransferase (EC 2.3.1.-)	dltB lp_2018
YP_004889781.1	D-alanine--D-alanyl carrier protein ligase (DCL) (EC 6.2.1.54) (D-alanine--poly(phosphoribitol) ligase subunit 1) (D-alanine-activating enzyme) (DAE)	dltA lp_2019
YP_004889782.1	D-Ala-teichoic acid biosynthesis protein	dltX lp_2020
YP_004889783.1	Serine-type D-Ala-D-Ala carboxypeptidase (EC 3.4.16.4)	pbpX2 lp_2021
YP_004889786.1	Chaperone protein DnaJ	dnaJ lp_2026
YP_004889787.1	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	dnaK lp_2027
YP_004889788.1	Protein GrpE (HSP-70 cofactor)	grpE lp_2028
YP_004889789.1	Heat-inducible transcription repressor HrcA	hrcA lp_2029
YP_004889790.1	Alpha-acetolactate decarboxylase (EC 4.1.1.5)	aldB lp_2030
YP_004889791.1	Riboflavin biosynthesis protein [Includes: Riboflavin kinase (EC 2.7.1.26) (Flavokinase); FMN adenylyltransferase (EC 2.7.7.2) (FAD pyrophosphorylase) (FAD synthase)]	ribC2 lp_2031
YP_004889792.1	tRNA pseudouridine synthase B (EC 5.4.99.25) (tRNA pseudouridine(55) synthase) (Psi55 synthase) (tRNA pseudouridylate synthase) (tRNA-uridine isomerase)	truB lp_2032
YP_004889793.1	Shikimate kinase (SK) (EC 2.7.1.71)	aroI aroK lp_2033
YP_004889794.1	Prephenate dehydrogenase (EC 1.3.1.12)	tyrA lp_2034
YP_004889795.1	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	aroA aroE lp_2035
YP_004889796.1	Aromatic amino acid biosynthesis enzyme	lp_2036
YP_004889797.1	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	aroC lp_2037
YP_004889798.1	Bifunctional protein: transport protein, MFS chorismate mutase type II (EC 5.4.99.5)	lp_2038
YP_004889799.1	Ribosome-binding factor A	rbfA lp_2039
YP_004889800.1	Translation initiation factor IF-2	infB lp_2040
YP_004889801.1	Ribosomal protein HS6-type (S12/L30/L7a)	lp_2041
YP_004889802.1	Nucleic-acid-binding protein implicated in transcription termination	lp_2042
YP_004889803.1	Transcription termination/antitermination protein NusA	nusA lp_2043
YP_004889804.1	Ribosome maturation factor RimP	rimP lp_2044
YP_004889805.1	DNA polymerase III PolC-type (PolIII) (EC 2.7.7.7)	polC lp_2045
YP_004889806.1	Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)	proS lp_2048
YP_004889807.1	Zinc metalloprotease (EC 3.4.24.-)	lp_2049
YP_004889808.1	Phosphatidate cytidylyltransferase (EC 2.7.7.41)	cdsA lp_2050
YP_004889809.1	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific) (EC 2.5.1.31) (Ditrans,polycis-undecaprenylcistransferase) (Undecaprenyl diphosphate synthase) (UDS) (Undecaprenyl pyrophosphate synthase) (UPP synthase)	uppS lp_2051
YP_004889810.1	Ribosome-recycling factor (RRF) (Ribosome-releasing factor)	frr lp_2052
YP_004889811.1	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)	pyrH lp_2053
YP_004889812.1	Elongation factor Ts (EF-Ts)	tsf lp_2054
YP_004889813.1	30S ribosomal protein S2	rpsB lp_2055
YP_004889814.1	Hydrolase, HAD superfamily (EC 3.1.3.5, EC 3.1.3.6)	lp_2056
YP_004889815.1	D-lactate dehydrogenase (D-LDH) (EC 1.1.1.28)	ldhD lp_2057
YP_004889816.1	UPF0213 protein lp_2058	lp_2058
YP_004889817.1	Methyltransferase	lp_2059
YP_004889818.1	1-acylglycerol-3-phosphate O-acyltransferase (EC 2.3.1.51)	plsC lp_2060
YP_004889819.1	UPF0154 protein lp_2061	lp_2061
YP_004889820.1	UPF0291 protein lp_2062	lp_2062
YP_004889821.1	LexA repressor (EC 3.4.21.88)	lexA lp_2063
YP_004889823.1	Extracellular protein	lp_2066
YP_004889824.1	Hydroxymethylglutaryl-CoA synthase (EC 2.3.3.10)	mvaS lp_2067
YP_004889825.1	CAZy families GH13 protein	lp_2068
YP_004889826.1	DUF5666 domain-containing protein	lp_2069
YP_004889827.1	Glycosyltransferase, family 2 (EC 2.4.1.-)	lp_2071
YP_004889828.1	Transposase	lp_2074
YP_004889829.1	Transcriptional attenuator, cell envelope-related, LytR family	lp_2075
YP_004889830.1	Nitrate/sulfonate/bicarbonate ABC transporter,ATP-binding protein	lp_2076
YP_004889831.1	Nitrate/sulfonate/bicarbonate ABC transporter,permease protein	lp_2077
YP_004889832.1	Rod-shape determining protein	rodA1 lp_2078
YP_004889833.1	Inner membrane protein	lp_2081
YP_004889834.1	Methyltransferase	lp_2082
YP_004889835.1	UPF0145 protein lp_2083	lp_2083
YP_004889836.1	Transport protein, major facilitator superfamily (MFS)	lp_2084
YP_004889837.1	Transcription regulator	lp_2085
YP_004889838.1	Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)	apt lp_2086
YP_004889839.1	Single-stranded-DNA-specific exonuclease RecJ	recJ lp_2087
YP_004889840.1	Hypothetical membrane protein, DUF1049 family	lp_2088
YP_004889841.1	Short-chain dehydrogenase/oxidoreductase (EC 1.-.-.-)	lp_2089
YP_004889842.1	Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z)	rnz lp_2090
YP_004889843.1	Glyoxalase	lp_2093
YP_004889844.1	GTPase Obg (EC 3.6.5.-) (GTP-binding protein Obg)	obg lp_2094
YP_004889845.1	Transcription regulator, DeoR family, fructose operon	fruR lp_2095
YP_004889846.1	Tagatose-6-phosphate kinase (EC 2.7.1.144)	fruK lp_2096
YP_004889847.1	PTS system, fructose-specific EIIABC component	fruA lp_2097
YP_004889848.1	Metallophosphoesterase, lipoprotein	lp_2098
YP_004889849.1	Polysaccharide repeat unit transporter (Flippase)	cps4J lp_2099
YP_004889850.1	Glycosyltransferase, family 2 (GT2) (EC 2.4.1.-)	cps4I lp_2100
YP_004889851.1	Polysaccharide polymerase	cps4H lp_2101
YP_004889852.1	Glycosyltransferase, family 1 (GT1) (EC 2.4.1.-)	cps4G lp_2102
YP_004889853.1	Glycosyltransferase, family 1 (GT1) (EC 2.4.1.-)	cps4F lp_2103
YP_004889854.1	Polysaccharide biosynthesis polyprenyl glycosylphosphotransferase, priming glycosyltransferase	cps4E lp_2104
YP_004889855.1	UDP N-acetyl glucosamine 4-epimerase, NAD dependent (EC 5.3.1.7)	cps4D lp_2105
YP_004889856.1	Tyrosine-protein phosphatase (EC 3.1.3.48)	cps4C lp_2106
YP_004889857.1	Polysaccharide biosynthesis protein	cps4B lp_2107
YP_004889858.1	Capsular polysaccharide biosynthesis protein CpsC	cps4A lp_2108
YP_004889859.1	UvrABC system protein C (Protein UvrC) (Excinuclease ABC subunit C)	uvrC lp_2109
YP_004889860.1	Glutamine ABC transporter, ATP-binding protein	glnQ3 lp_2110
YP_004889861.1	Glutamine ABC transporter, substrate binding and permease protein	glnPH2 lp_2111
YP_004889862.1	Glycogen biosynthesis protein GlgD	lp_2112
YP_004889863.1	Fe-S_biosyn domain-containing protein	lp_2113
YP_004889864.1	NTP pyrophosphohydrolase	lp_2114
YP_004889865.1	Probable GTP-binding protein EngB	engB lp_2115
YP_004889866.1	ATP-dependent Clp protease ATP-binding subunit ClpX	clpX lp_2116
YP_004889867.1	Trigger factor (TF) (EC 5.2.1.8) (PPIase)	tig lp_2118
YP_004889868.1	Elongation factor Tu (EF-Tu)	tuf lp_2119
YP_004889869.1	TPR_REGION domain-containing protein	lp_2121
YP_004889870.1	Ribonuclease J (RNase J) (EC 3.1.-.-)	rnj lp_2122
YP_004889871.1	4-hydroxy-tetrahydrodipicolinate synthase (HTPA synthase) (EC 4.3.3.7)	dapA dapA1 lp_2123
YP_004889872.1	Transport protein, major facilitator superfamily (MFS)	lp_2124
YP_004889873.1	30S ribosomal protein S15	rpsO lp_2125
YP_004889874.1	30S ribosomal protein S20	rpsT lp_2126
YP_004889875.1	DNA-directed DNA polymerase III, delta chain (EC 2.7.7.7)	holA lp_2128
YP_004889876.1	ComE operon protein 3, DNA transport protein	comEC lp_2129
YP_004889877.1	ComE operon protein 1, dCMP deaminase (EC 3.5.4.12)	comEB lp_2130
YP_004889878.1	ComE operon protein 1, DNA receptor	comEA lp_2131
YP_004889879.1	Endopeptidase La (EC 3.4.21.53)	lon lp_2132
YP_004889880.1	Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT)	coaD kdtB lp_2133
YP_004889881.1	N6-adenine-specific methylase (EC 2.1.1.-)	lp_2134
YP_004889882.1	UPF0298 protein lp_2135	lp_2135
YP_004889883.1	Pyruvate carboxylase (EC 6.4.1.1)	pycA lp_2136
YP_004889884.1	Cell division protein FtsW	ftsW lp_2137
YP_004889885.1	Hypothetical membrane protein, TIGR03766 family	lp_2141
YP_004889886.1	Glycosyltransferase, family 2 (GT2), TIGR03111 family (EC 2.4.1.-)	ica2 lp_2142
YP_004889887.1	Exosortase (Transpeptidase), TIGR03110 family	lp_2143
YP_004889888.1	Extracellular protein, cell-wall anchored	lp_2145
YP_004889889.1	50S ribosomal subunit assembly factor BipA (EC 3.6.5.-) (GTP-binding protein BipA)	typA bipA lp_2146
YP_004889890.1	Myo-inositol-1(Or 4)-monophosphatase (EC 3.1.3.25)	suhB lp_2147
YP_004889891.1	UPF0223 protein lp_2149	lp_2149
YP_004889892.1	Malate/L-lactate/L-2-hydroxyisocapronate dehydrogenase (EC 1.1.1.27)	lp_2150
YP_004889893.1	Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	pdhD lp_2151
YP_004889894.1	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.-)	pdhC lp_2152
YP_004889895.1	Pyruvate dehydrogenase complex, E1 component,beta subunit (EC 1.2.4.1)	pdhB lp_2153
YP_004889896.1	Pyruvate dehydrogenase E1 component subunit alpha (EC 1.2.4.1)	pdhA lp_2154
YP_004889897.1	Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase)	def def1 lp_2155
YP_004889898.1	Hypothetical membrane protein	lp_2156
YP_004889899.1	DNA-directed RNA polymerase subunit epsilon (RNAP epsilon subunit) (EC 2.7.7.6) (RNA polymerase epsilon subunit) (Transcriptase subunit epsilon)	rpoY lp_2157
YP_004889900.1	Ribonuclease J (RNase J) (EC 3.1.-.-)	rnj lp_2158
YP_004889901.1	Diacylglycerol/lipid kinase	lp_2159
YP_004889902.1	SKA2 domain-containing protein	lp_2160
YP_004889903.1	Extracellular protein, NlpC/P60 family,gamma-D-glutamate-meso-diaminopimelate muropeptidase (EC 3.4.19.11)	lp_2162
YP_004889904.1	Transposase	ISP1_10 ISP1_1 ISP1_2 ISP1_3 ISP1_4 ISP1_7 ISP1_8 ISP1_9 lp_1064 lp_1288 lp_1463 lp_1537 lp_2164 lp_2617 lp_3036 lp_3308
YP_004889905.1	Putative ribose-phosphate pyrophosphokinase 2 (RPPK 2) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate 2) (Phosphoribosyl diphosphate synthase 2) (Phosphoribosyl pyrophosphate synthase 2) (P-Rib-PP synthase 2) (PRPP synthase 2) (PRPPase 2)	prs2 lp_2166
YP_004889906.1	ATP-dependent RecD-like DNA helicase (EC 3.6.4.12)	recD recD2 lp_2168
YP_004889907.1	TPR_REGION domain-containing protein	lp_2169
YP_004889908.1	Phosphoglycerate mutase family protein (EC 5.4.2.1)	pgm6 lp_2170
YP_004889909.1	Cell surface protein, CscB family	lp_2173
YP_004889910.1	Cell surface protein, CscA/DUF916 family	lp_2174
YP_004889911.1	Cell surface protein, CscC family	lp_2175
YP_004889912.1	Potassium uptake protein	ktrA lp_2176
YP_004889913.1	Potassium uptake protein	ktrB lp_2177
YP_004889914.1	tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13)	mnmA trmU lp_2178
YP_004889915.1	Cysteine desulfurase associated protein,DUF1831 family	lp_2179
YP_004889916.1	Cysteine desulfurase (EC 2.8.1.7)	iscS lp_2180
YP_004889917.1	Adenosylhomocysteine nucleosidase (EC 3.2.2.9)	mtn lp_2181
YP_004889918.1	Small membrane protein	lp_2182
YP_004889919.1	ADP-ribose pyrophosphatase (EC 3.6.1.13)	lp_2183
YP_004889920.1	Diaminopimelate epimerase (DAP epimerase) (EC 5.1.1.7) (PLP-independent amino acid racemase)	dapF lp_2185
YP_004889921.1	Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	ileS lp_2187
YP_004889922.1	Cell division initiation protein DivIVA	divIVA lp_2189
